Stock,RS_Rating,Close,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High
JSWSTEEL,100,721.2,639.86,465.31,421.02,175.45,773.0
TATASTEEL,98,1120.7,994.17,748.33,660.95,300.0,1246.85
TATAMOTORS,96,334.95,307.43,258.22,227.77,91.8,357.0
HINDALCO,94,395.05,369.18,294.65,266.22,136.2,427.5
ADANIPORTS,91,833.85,756.36,599.23,536.97,298.0,885.0
GRASIM,91,1503.25,1400.6,1155.73,1047.07,565.0,1507.0
BAJFINANCE,87,5993.45,5287.35,5061.91,4648.06,2199.0,6010.0
WIPRO,87,541.2,479.85,422.91,394.62,206.3,549.9
SBIN,84,433.6,371.05,324.59,293.03,169.25,441.95
BAJAJFINSV,81,12155.65,10552.64,9408.54,8572.45,4900.0,12190.0
INDUSINDBK,81,1009.3,940.82,922.69,839.38,444.0,1119.5
INFY,78,1385.65,1366.63,1278.22,1211.97,675.5,1477.55
UPL,76,836.25,679.85,562.22,546.6,398.05,845.35
TATACONSUM,74,686.95,654.81,602.16,581.14,360.25,698.0
ASIANPAINT,71,2924.9,2658.57,2513.32,2385.67,1577.5,2990.0
ICICIBANK,71,642.7,602.2,561.49,516.27,324.1,679.4
