Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,AXISBANK,EQ,405.3,415.0,444.75,414.0,431.7,430.25,430.98,60387850,2602590006005000.0,574895,12887892,0.2134
2020-06-09,AXISBANK,EQ,430.25,434.95,442.5,416.5,417.7,420.05,431.03,46274196,1994566478284999.8,377255,9356521,0.2022
2020-06-10,AXISBANK,EQ,420.05,422.2,432.7,415.3,431.95,427.45,421.1,36163767,1522846132280000.0,306681,4597014,0.12710000000000002
2020-06-11,AXISBANK,EQ,427.45,426.5,435.55,408.7,414.45,413.45,422.03,45563053,1922902733095000.0,394557,10607767,0.2328
2020-06-12,AXISBANK,EQ,413.45,390.0,412.5,389.15,406.6,408.0,401.3,47814513,1918802390820000.0,425792,9129779,0.19090000000000001
2020-06-15,AXISBANK,EQ,408.0,405.95,405.95,383.65,389.7,389.6,391.5,39578304,1549478243675000.0,383057,8892968,0.22469999999999998
2020-06-16,AXISBANK,EQ,389.6,404.9,405.0,360.4,380.2,381.55,379.88,96190274,3654065942305000.5,781976,27287497,0.2837
2020-06-17,AXISBANK,EQ,381.55,377.45,397.75,375.3,388.6,389.6,389.74,56950626,2219573133434999.8,458252,8153199,0.1432
2020-06-18,AXISBANK,EQ,389.6,386.0,408.05,384.0,404.75,405.4,396.48,43774453,1735581936909999.8,352937,8577021,0.1959
2020-06-19,AXISBANK,EQ,405.4,407.5,422.3,407.5,417.15,417.05,416.47,52085893,2169237459225000.0,428871,11009248,0.2114
2020-06-22,AXISBANK,EQ,417.05,420.0,435.9,418.1,430.25,430.15,428.96,40454158,1735319174325000.0,374532,9811469,0.2425
2020-06-23,AXISBANK,EQ,430.15,430.5,445.0,430.4,444.4,443.65,437.78,30757921,1346526673480000.0,304611,3902114,0.3134
2020-06-24,AXISBANK,EQ,443.65,448.0,448.5,422.2,425.4,424.65,435.17,33577340,1461172528470000.0,304342,5848920,0.17420000000000002
2020-06-25,AXISBANK,EQ,424.65,419.0,428.7,410.35,418.9,421.7,420.13,49854504,2094542295555000.0,356209,11216077,0.225
2020-06-26,AXISBANK,EQ,421.7,426.0,428.75,418.0,426.0,424.85,422.8,32611425,1378814835820000.0,233244,6855248,0.2102
2020-06-29,AXISBANK,EQ,424.85,415.0,415.8,402.35,404.9,404.8,406.79,36320111,1477447751155000.0,333423,10059151,0.277
2020-06-30,AXISBANK,EQ,404.8,410.0,414.8,404.05,407.3,406.65,409.15,26951992,1102743626475000.0,233118,4422649,0.1641
2020-07-01,AXISBANK,EQ,406.65,410.0,437.35,406.65,432.45,433.25,423.3,53380997,2259598644260000.0,424141,11277321,0.2113
2020-07-02,AXISBANK,EQ,433.25,441.0,441.5,421.3,424.8,423.2,427.8,50362840,2154504866225000.0,402398,8019429,0.1592
2020-07-03,AXISBANK,EQ,423.2,430.0,431.6,423.65,429.0,428.45,427.75,31044470,1327929477825000.0,252003,5973108,0.1924
2020-07-06,AXISBANK,EQ,428.45,434.15,437.6,431.1,433.75,434.0,434.51,18425359,800602876835000.0,181904,3120874,0.16940000000000002
2020-07-07,AXISBANK,EQ,434.0,433.5,449.0,426.2,445.95,447.35,438.58,37991906,1666265374255000.0,329598,6686878,0.17600000000000002
2020-07-08,AXISBANK,EQ,447.35,450.0,461.4,441.0,444.0,444.15,450.01,45878605,2064569022559999.8,393904,6452488,0.1406
2020-07-09,AXISBANK,EQ,444.15,447.85,457.0,446.05,453.8,453.75,452.36,29162682,1319198472260000.0,248173,6984633,0.2395
2020-07-10,AXISBANK,EQ,453.75,449.9,451.45,437.0,439.4,439.6,443.12,25676461,1137776088955000.0,322643,5559514,0.2165
2020-07-13,AXISBANK,EQ,439.6,443.95,446.4,432.75,441.0,440.05,439.02,21326996,936306700665000.0,240240,3355967,0.1574
2020-07-14,AXISBANK,EQ,440.05,434.9,435.8,415.4,418.5,417.7,422.06,25686686,1084127003350000.0,264579,6357440,0.2475
2020-07-15,AXISBANK,EQ,417.7,424.0,444.45,422.75,429.0,426.65,434.49,43250557,1879193605134999.8,335522,9206129,0.2129
2020-07-16,AXISBANK,EQ,426.65,431.95,436.15,418.45,432.0,434.0,426.78,30183798,1288175547925000.0,234710,4168147,0.1381
2020-07-17,AXISBANK,EQ,434.0,434.0,439.9,424.6,434.5,433.1,431.92,33465094,1445427842315000.0,263202,8106072,0.2422
2020-07-20,AXISBANK,EQ,433.1,437.7,442.8,429.3,434.55,434.0,435.38,30400830,1323600437510000.0,266406,5802030,0.19090000000000001
2020-07-21,AXISBANK,EQ,434.0,440.0,451.0,438.5,445.9,446.2,444.56,43147781,1918179203359999.8,575785,11022992,0.2555
2020-07-22,AXISBANK,EQ,446.2,478.0,484.6,460.1,476.0,478.95,471.33,89612153,4223715627215000.0,680342,18041167,0.2013
2020-07-23,AXISBANK,EQ,478.95,472.95,474.75,459.2,460.9,460.85,465.01,40250274,1871661154700000.0,359159,10296393,0.25579999999999997
2020-07-24,AXISBANK,EQ,460.85,456.6,456.6,441.55,445.95,445.6,446.76,30567381,1365621242495000.0,315058,6083457,0.19899999999999998
2020-07-27,AXISBANK,EQ,445.6,447.0,448.0,429.9,431.9,431.55,434.54,21924614,952712471070000.1,239539,5904126,0.2693
2020-07-28,AXISBANK,EQ,431.55,434.0,440.0,424.4,436.15,437.05,432.9,33057789,1431056797710000.0,270487,6987902,0.2114
2020-07-29,AXISBANK,EQ,437.05,435.75,447.0,434.3,441.5,440.9,442.06,24404909,1078849945145000.1,200484,3628091,0.1487
2020-07-30,AXISBANK,EQ,440.9,441.9,445.9,424.75,427.0,425.85,434.47,26862223,1167088488220000.0,242199,5952121,0.22160000000000002
2020-07-31,AXISBANK,EQ,425.85,429.0,434.45,421.3,432.9,431.65,428.84,27499643,1179299354265000.0,231122,4717737,0.1716
2020-08-03,AXISBANK,EQ,431.65,431.6,431.9,415.7,419.0,417.35,421.43,23824147,1004031352760000.0,238750,5354800,0.2248
2020-08-04,AXISBANK,EQ,417.35,421.85,431.2,417.35,429.0,429.15,423.84,24748403,1048941127645000.1,208124,3755993,0.1518
2020-08-05,AXISBANK,EQ,429.15,439.0,446.85,433.15,434.2,434.95,440.15,36936666,1625777275260000.0,301181,6256624,0.16940000000000002
2020-08-06,AXISBANK,EQ,434.95,436.0,438.3,427.1,433.0,433.0,432.71,33465332,1448083560590000.0,271115,8891863,0.2657
2020-08-07,AXISBANK,EQ,433.0,431.45,437.0,427.15,433.2,433.3,433.75,15570556,675378214305000.0,132147,3114356,0.2
2020-08-10,AXISBANK,EQ,433.3,434.0,437.0,429.3,431.8,431.1,433.65,14888275,645628196890000.0,131635,3408596,0.22890000000000002
2020-08-11,AXISBANK,EQ,431.1,435.3,449.9,435.3,448.0,448.0,443.6,30469680,1351650110660000.0,257119,7923757,0.2601
2020-08-12,AXISBANK,EQ,448.0,444.8,452.75,438.95,450.0,451.1,447.74,23184443,1038062991340000.0,209665,5002474,0.2158
