Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,BAJAJ-AUTO,EQ,2776.3,2800.0,2814.0,2745.0,2797.95,2801.05,2787.04,727119,202651226925000.0,49345,175245,0.24100000000000002
2020-06-09,BAJAJ-AUTO,EQ,2801.05,2805.1,2814.6,2766.0,2780.0,2791.15,2789.96,619517,172842532960000.0,42461,130635,0.2109
2020-06-10,BAJAJ-AUTO,EQ,2791.15,2790.2,2803.95,2703.35,2726.0,2717.2,2753.45,687956,189425025335000.0,45163,181785,0.26420000000000005
2020-06-11,BAJAJ-AUTO,EQ,2717.2,2717.2,2758.0,2703.4,2718.0,2718.55,2732.53,661183,180670264160000.0,41511,101920,0.15410000000000001
2020-06-12,BAJAJ-AUTO,EQ,2718.55,2610.25,2799.05,2610.25,2797.0,2782.15,2721.15,895713,243736826830000.03,43389,149627,0.167
2020-06-15,BAJAJ-AUTO,EQ,2782.15,2774.0,2774.0,2707.95,2732.1,2728.55,2732.43,517426,141382964320000.0,30367,70525,0.1363
2020-06-16,BAJAJ-AUTO,EQ,2728.55,2764.0,2786.95,2702.85,2713.25,2718.45,2740.59,611383,167555226335000.0,38386,135567,0.2217
2020-06-17,BAJAJ-AUTO,EQ,2718.45,2718.45,2737.8,2674.2,2692.0,2689.45,2699.56,600389,162078321805000.0,35943,177369,0.2954
2020-06-18,BAJAJ-AUTO,EQ,2689.45,2689.45,2697.15,2646.15,2680.0,2678.35,2674.9,579581,155032240465000.0,35240,203431,0.35100000000000003
2020-06-19,BAJAJ-AUTO,EQ,2678.35,2690.0,2710.0,2655.0,2675.95,2674.35,2680.7,929101,249063712280000.03,53562,400736,0.4313
2020-06-22,BAJAJ-AUTO,EQ,2674.35,2690.0,2873.95,2659.55,2863.9,2855.75,2815.0,1872879,527214943614999.94,102487,451085,0.2409
2020-06-23,BAJAJ-AUTO,EQ,2855.75,2890.0,2910.1,2844.95,2867.55,2862.15,2875.35,1089948,313398530645000.0,54956,217542,0.2883
2020-06-24,BAJAJ-AUTO,EQ,2862.15,2899.8,2979.9,2805.65,2809.8,2817.25,2899.73,1617177,468937222464999.94,74569,306706,0.18969999999999998
