Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,DIVISLAB,EQ,2460.05,2472.0,2472.0,2337.0,2405.0,2413.05,2381.2,1943121,462696049320000.0,99452,567742,0.2922
2020-06-09,DIVISLAB,EQ,2413.05,2400.0,2456.9,2400.0,2412.0,2421.8,2430.23,1215393,295368954130000.0,61299,383447,0.3155
2020-06-10,DIVISLAB,EQ,2421.8,2412.0,2444.0,2376.0,2398.0,2394.65,2405.87,702973,169126195935000.0,35141,261422,0.3719
2020-06-11,DIVISLAB,EQ,2394.65,2394.65,2417.35,2347.0,2358.0,2356.3,2382.31,470945,112193727325000.0,27820,171215,0.3636
2020-06-12,DIVISLAB,EQ,2356.3,2310.0,2400.3,2302.9,2390.9,2395.1,2360.13,589371,139099110940000.02,37165,246572,0.41840000000000005
2020-06-15,DIVISLAB,EQ,2395.1,2408.95,2449.6,2322.45,2329.85,2335.05,2373.37,1261594,299422647070000.0,63046,534675,0.4238
2020-06-16,DIVISLAB,EQ,2335.05,2352.0,2365.0,2285.0,2320.0,2320.35,2325.73,660665,153652921555000.0,33260,227796,0.3448
2020-06-17,DIVISLAB,EQ,2320.35,2329.05,2337.85,2292.3,2303.0,2300.1,2307.82,699526,161438287780000.0,51653,354136,0.5063000000000001
2020-06-18,DIVISLAB,EQ,2300.1,2305.9,2332.0,2296.55,2313.3,2310.45,2313.07,304466,70425242990000.0,15619,83747,0.2751
2020-06-19,DIVISLAB,EQ,2310.45,2318.7,2330.0,2286.0,2325.0,2304.75,2304.5,728257,167827064005000.0,30555,416277,0.5716
2020-06-22,DIVISLAB,EQ,2304.75,2335.0,2369.0,2317.0,2347.0,2349.25,2343.42,445250,104340652355000.0,32337,164548,0.36960000000000004
2020-06-23,DIVISLAB,EQ,2349.25,2360.0,2401.05,2322.0,2399.0,2380.05,2364.54,838036,198157320980000.0,52063,115305,0.4744
2020-06-24,DIVISLAB,EQ,2380.05,2395.0,2412.0,2331.5,2347.0,2341.35,2374.83,501602,119121807734999.98,41102,188667,0.3761
2020-06-25,DIVISLAB,EQ,2341.35,2340.55,2378.0,2325.35,2337.0,2330.45,2345.96,316335,74210816220000.0,39300,105636,0.33390000000000003
2020-06-26,DIVISLAB,EQ,2330.45,2344.0,2381.9,2332.55,2352.15,2350.75,2354.8,497120,117061938425000.0,56011,250638,0.5042
2020-06-29,DIVISLAB,EQ,2350.75,2359.55,2368.0,2308.1,2320.0,2316.6,2328.16,519075,120848968500000.0,33091,299078,0.5761999999999999
2020-06-30,DIVISLAB,EQ,2316.6,2334.95,2334.95,2267.0,2277.0,2278.9,2297.52,684514,157268770590000.0,50056,261214,0.3816
