Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,HCLTECH,EQ,575.95,579.15,583.5,571.05,578.0,578.25,578.51,3772143,218220888235000.0,84820,1782648,0.47259999999999996
2020-06-09,HCLTECH,EQ,578.25,574.15,583.6,570.0,570.0,572.85,576.99,3812757,219993734740000.0,127861,2083688,0.5465
2020-06-10,HCLTECH,EQ,572.85,575.0,587.5,573.6,578.0,578.7,580.68,6491758,376964578740000.0,93652,3691681,0.5687
2020-06-11,HCLTECH,EQ,578.7,580.0,584.9,574.1,576.25,578.05,579.16,4975680,288169564850000.0,72961,3461257,0.6956
2020-06-12,HCLTECH,EQ,578.05,555.2,578.7,555.2,571.0,570.75,568.02,6624056,376258270600000.0,118919,4578547,0.6912
2020-06-15,HCLTECH,EQ,570.75,574.8,581.0,563.7,579.25,578.95,574.52,3787100,217576097560000.0,81883,1685663,0.4451
2020-06-16,HCLTECH,EQ,578.95,585.0,593.5,578.4,579.2,580.9,585.75,4728409,276965158894999.97,92201,1598700,0.3381
2020-06-17,HCLTECH,EQ,580.9,580.0,581.85,573.0,575.6,575.85,577.87,3572362,206435247120000.0,93262,2040417,0.5712
2020-06-18,HCLTECH,EQ,575.85,571.2,583.8,570.1,577.9,578.95,576.2,1918329,110534968050000.0,48659,635265,0.3312
2020-06-19,HCLTECH,EQ,578.95,574.0,578.0,567.2,572.0,569.6,570.92,6182630,352981553860000.0,76370,3865331,0.6252000000000001
2020-06-22,HCLTECH,EQ,569.6,575.0,576.65,565.4,569.95,569.6,571.13,2666303,152281574720000.0,65666,1353750,0.5077
2020-06-23,HCLTECH,EQ,569.6,569.7,583.5,563.75,579.0,580.25,577.22,4522086,261024045994999.97,106226,1028173,0.5177
2020-06-24,HCLTECH,EQ,580.25,575.0,579.8,554.4,561.0,559.6,566.23,5339903,302359133140000.0,111222,2787822,0.5221
2020-06-25,HCLTECH,EQ,559.6,557.6,560.7,548.0,548.4,550.05,552.37,6353508,350950126695000.0,111681,4003497,0.6301
2020-06-26,HCLTECH,EQ,550.05,550.05,573.9,545.0,562.8,562.4,562.18,7034881,395486942585000.0,118617,3285060,0.467
2020-06-29,HCLTECH,EQ,562.4,562.0,565.9,550.3,553.0,553.7,557.41,3857756,215036199885000.0,99294,1803671,0.4675
2020-06-30,HCLTECH,EQ,553.7,558.0,560.8,553.25,557.0,556.85,556.7,3110587,173164826385000.0,110486,1838881,0.5912
2020-07-01,HCLTECH,EQ,556.85,557.95,559.6,551.0,551.2,551.75,553.86,3004728,166420594775000.0,61925,1729118,0.5755
2020-07-02,HCLTECH,EQ,551.75,555.0,572.4,552.9,570.95,569.2,564.57,5243654,296041486910000.0,106497,2351675,0.4485
2020-07-03,HCLTECH,EQ,569.2,572.0,580.55,570.6,578.45,579.15,576.44,3735600,215333239175000.0,53512,1353907,0.3624
2020-07-06,HCLTECH,EQ,579.15,579.15,589.0,577.25,578.55,578.7,584.08,3288423,192068597935000.0,76889,1408206,0.4282
2020-07-07,HCLTECH,EQ,578.7,582.0,594.45,575.15,593.0,592.05,585.73,7255520,424978097790000.0,120847,2947762,0.40630000000000005
2020-07-08,HCLTECH,EQ,592.05,594.75,594.75,573.0,574.45,574.9,580.07,4625061,268284975060000.0,81989,2005758,0.4337
2020-07-09,HCLTECH,EQ,574.9,575.65,591.6,575.0,588.0,588.25,585.07,4807935,281297721590000.0,73521,2499237,0.5197999999999999
2020-07-10,HCLTECH,EQ,588.25,588.25,588.55,579.85,582.0,582.25,583.68,2376908,138735054050000.0,57166,971976,0.40890000000000004
2020-07-13,HCLTECH,EQ,582.25,585.0,605.0,583.35,604.0,602.6,597.94,5443995,325520631310000.0,75578,1197298,0.21989999999999998
2020-07-14,HCLTECH,EQ,602.6,604.6,613.75,588.1,590.25,591.35,602.11,6212718,374074950655000.0,101537,1207574,0.19440000000000002
2020-07-15,HCLTECH,EQ,591.35,593.65,627.95,592.5,618.95,615.2,616.35,9928037,611914815675000.0,139453,2996904,0.3019
2020-07-16,HCLTECH,EQ,615.2,630.0,652.2,607.15,634.0,627.75,631.15,20771278,1310980301405000.0,304276,4958086,0.23870000000000002
2020-07-17,HCLTECH,EQ,627.75,629.5,644.65,613.4,624.7,623.15,630.82,26830689,1692546892535000.0,365141,3503426,0.1306
2020-07-20,HCLTECH,EQ,623.15,633.0,652.0,626.85,649.4,648.6,639.34,10543170,674068041115000.0,178170,3265071,0.3097
2020-07-21,HCLTECH,EQ,648.6,652.0,662.35,643.3,652.3,652.35,652.33,8801064,574119183310000.0,150497,3021322,0.3433
