Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,HDFCLIFE,EQ,516.25,520.0,529.8,516.25,524.15,522.05,524.17,8430264,441892675905000.0,147437,5309720,0.6298
2020-06-09,HDFCLIFE,EQ,522.05,525.0,531.0,501.5,505.0,506.85,516.66,9173487,473957610980000.0,132818,4557017,0.4968
2020-06-10,HDFCLIFE,EQ,506.85,507.45,507.95,499.0,502.5,501.7,503.16,3359218,169022772960000.0,68990,1717602,0.5113000000000001
2020-06-11,HDFCLIFE,EQ,501.7,500.0,509.5,497.0,502.0,501.65,504.22,2483043,125200569455000.0,48883,957713,0.3857
2020-06-12,HDFCLIFE,EQ,501.65,488.0,504.15,486.25,502.5,502.3,496.58,8115192,402982322585000.0,114873,5750099,0.7086
2020-06-15,HDFCLIFE,EQ,502.3,507.9,507.9,495.3,501.85,499.9,500.64,3620145,181238458700000.0,73980,1994723,0.551
2020-06-16,HDFCLIFE,EQ,499.9,505.0,510.7,497.0,507.0,505.7,505.19,3579474,180833125150000.0,63423,1776348,0.4963
2020-06-17,HDFCLIFE,EQ,505.7,506.0,508.7,498.55,499.4,500.4,503.4,1857859,93524696175000.0,35946,781088,0.4204
2020-06-18,HDFCLIFE,EQ,500.4,500.0,517.9,498.65,515.2,515.95,512.03,4084145,209120038895000.0,81383,2047859,0.5014000000000001
2020-06-19,HDFCLIFE,EQ,515.95,517.95,524.0,514.35,520.15,521.1,519.24,4569791,237281666925000.0,72145,2952294,0.6459999999999999
2020-06-22,HDFCLIFE,EQ,521.1,524.95,525.8,514.55,519.45,520.4,519.47,2767223,143748675540000.0,54000,1511618,0.5463
2020-06-23,HDFCLIFE,EQ,520.4,524.25,544.6,520.4,538.0,537.05,536.41,5813524,311845956365000.0,95610,1550225,0.5514
2020-06-24,HDFCLIFE,EQ,537.05,542.7,545.6,523.7,527.8,527.25,534.35,3765294,201198613340000.0,76908,1532738,0.4071
2020-06-25,HDFCLIFE,EQ,527.25,520.0,539.75,519.0,536.95,538.4,533.77,2654401,141684112075000.0,60899,1200895,0.4524
2020-06-26,HDFCLIFE,EQ,538.4,541.4,547.45,535.0,541.6,541.9,541.61,2586687,140098197625000.0,45147,925929,0.358
2020-06-29,HDFCLIFE,EQ,541.9,543.5,544.6,532.65,536.7,537.2,538.37,1691390,91059863565000.0,47684,806064,0.47659999999999997
2020-06-30,HDFCLIFE,EQ,537.2,540.5,554.45,537.0,550.1,549.0,549.4,3360063,184601255705000.0,70448,1262660,0.37579999999999997
2020-07-01,HDFCLIFE,EQ,549.0,555.55,560.0,546.15,546.8,549.65,555.22,3419823,189877049360000.0,77110,1357876,0.3971
2020-07-02,HDFCLIFE,EQ,549.65,549.5,552.5,545.7,548.4,547.95,548.74,1638118,89889846835000.0,39488,690171,0.4213
2020-07-03,HDFCLIFE,EQ,547.95,564.95,589.6,558.0,575.75,572.15,574.91,15663762,900519588620000.1,272940,4085989,0.2609
2020-07-06,HDFCLIFE,EQ,572.15,581.0,591.85,576.4,585.55,584.7,584.27,4862826,284119677695000.0,116324,1987797,0.40880000000000005
2020-07-07,HDFCLIFE,EQ,584.7,589.7,591.0,572.1,582.8,582.6,580.81,3849690,223593077215000.0,108560,2144590,0.5571
2020-07-08,HDFCLIFE,EQ,582.6,581.5,596.9,578.0,582.95,581.95,588.76,4280870,252040917590000.0,101366,2069099,0.4833
2020-07-09,HDFCLIFE,EQ,581.95,584.1,589.9,582.95,583.4,585.2,585.67,2441545,142993503670000.0,75193,1416451,0.5801
2020-07-10,HDFCLIFE,EQ,585.2,586.0,600.0,585.25,592.0,592.5,593.08,3207170,190211015095000.0,89121,1060964,0.3308
2020-07-13,HDFCLIFE,EQ,592.5,593.95,603.75,584.0,603.6,600.3,594.33,2854269,169637768565000.0,69941,1190433,0.4171
2020-07-14,HDFCLIFE,EQ,600.3,592.5,609.0,592.5,598.9,598.45,602.65,3645884,219717981005000.03,118929,1282166,0.3517
2020-07-15,HDFCLIFE,EQ,598.45,600.0,604.7,593.0,595.5,594.8,598.15,2310735,138216593730000.0,61211,1078550,0.4668
2020-07-16,HDFCLIFE,EQ,594.8,594.0,603.75,589.25,600.0,599.85,598.19,1767720,105742408490000.0,48767,656234,0.3712
2020-07-17,HDFCLIFE,EQ,599.85,600.8,616.0,600.05,615.55,614.5,608.71,2790704,169872363740000.0,47498,1095508,0.3926
2020-07-20,HDFCLIFE,EQ,614.5,619.7,628.2,612.3,619.5,616.45,620.84,3020897,187550295400000.0,65154,1165437,0.3858
2020-07-21,HDFCLIFE,EQ,616.45,622.0,632.5,601.35,627.0,627.45,619.41,8306391,514507190439999.94,165252,3123555,0.376
2020-07-22,HDFCLIFE,EQ,627.45,627.0,627.0,605.9,610.6,609.65,611.63,5164789,315891669900000.0,145858,3201206,0.6198
2020-07-23,HDFCLIFE,EQ,609.65,610.95,623.7,610.65,622.0,622.7,618.38,2957797,182903511700000.0,69128,1826180,0.6174000000000001
