Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,HINDALCO,EQ,149.25,155.0,155.85,145.5,146.9,146.35,149.95,16212010,243100858055000.03,81350,4196682,0.2589
2020-06-09,HINDALCO,EQ,146.35,148.0,150.35,141.2,142.5,142.6,146.73,19223809,282068876565000.0,95518,4876443,0.25370000000000004
2020-06-10,HINDALCO,EQ,142.6,143.9,148.0,141.8,147.0,146.95,145.56,17278403,251508247175000.0,98823,5237510,0.3031
2020-06-11,HINDALCO,EQ,146.95,145.9,147.45,142.45,145.85,144.4,144.62,12532830,181250582160000.0,69539,2966881,0.23670000000000002
2020-06-12,HINDALCO,EQ,144.4,138.0,146.85,136.2,145.9,146.05,143.17,15804922,226284515644999.97,76623,2952836,0.1868
2020-06-15,HINDALCO,EQ,146.05,149.05,152.35,143.75,146.4,145.8,147.63,34911162,515409448205000.0,149770,6177688,0.177
2020-06-16,HINDALCO,EQ,145.8,149.9,154.6,146.9,149.85,150.1,151.42,28477572,431194673025000.0,142967,4487800,0.1576
2020-06-17,HINDALCO,EQ,150.1,149.7,152.1,147.2,147.6,148.0,149.44,13573299,202832930500000.0,69589,2628270,0.1936
2020-06-18,HINDALCO,EQ,148.0,148.45,151.4,147.3,150.55,150.8,149.5,9858458,147382234345000.0,57615,1422440,0.1443
2020-06-19,HINDALCO,EQ,150.8,152.35,152.35,148.5,150.75,151.05,150.64,14631329,220409959185000.0,66476,4578853,0.3129
2020-06-22,HINDALCO,EQ,151.05,150.9,151.45,149.0,150.1,150.1,150.03,8037341,120581944609999.98,50757,2465022,0.30670000000000003
2020-06-23,HINDALCO,EQ,150.1,152.9,159.5,150.6,158.25,158.35,155.93,22570976,351937945500000.0,108997,2899215,0.36310000000000003
2020-06-24,HINDALCO,EQ,158.35,159.4,160.1,150.45,151.1,151.4,155.86,15918298,248101595300000.0,89844,4090748,0.257
2020-06-25,HINDALCO,EQ,151.4,149.0,152.3,144.6,147.85,146.6,148.36,18500713,274468171910000.0,104666,5089899,0.2751
2020-06-26,HINDALCO,EQ,146.6,149.0,152.0,148.2,150.8,151.05,149.97,12107609,181575589690000.0,63002,2493324,0.2059
2020-06-29,HINDALCO,EQ,151.05,149.45,149.45,143.3,146.3,145.85,145.39,13110762,190618689825000.0,90938,2986135,0.2278
2020-06-30,HINDALCO,EQ,145.85,148.0,151.6,145.2,147.35,146.2,148.73,14655359,217973764960000.0,75173,1843727,0.1258
2020-07-01,HINDALCO,EQ,146.2,147.5,148.85,144.5,147.7,147.55,147.1,8255408,121434672370000.0,50509,1782927,0.21600000000000003
2020-07-02,HINDALCO,EQ,147.55,148.9,150.3,146.75,147.9,147.75,148.14,9519998,141030632180000.0,62124,2724509,0.2862
2020-07-03,HINDALCO,EQ,147.75,148.6,149.45,144.55,146.15,146.4,146.05,10780269,157441183720000.0,65163,2059212,0.19100000000000003
2020-07-06,HINDALCO,EQ,146.4,147.8,155.15,147.1,154.7,154.35,152.68,24254507,370322016990000.0,121377,5318447,0.2193
2020-07-07,HINDALCO,EQ,154.35,155.0,156.9,151.8,152.3,152.3,153.87,13160147,202489144650000.0,75720,3841863,0.2919
2020-07-08,HINDALCO,EQ,152.3,152.75,158.0,152.4,155.4,155.0,155.36,18306904,284412715215000.0,84789,5772891,0.3153
2020-07-09,HINDALCO,EQ,155.0,157.0,166.45,156.9,165.2,164.8,162.8,45180721,735522822740000.0,209675,7419960,0.1642
2020-07-10,HINDALCO,EQ,164.8,163.7,164.5,160.35,163.95,163.7,162.43,16256682,264063754380000.03,75460,1815632,0.11170000000000001
2020-07-13,HINDALCO,EQ,163.7,165.3,170.5,164.1,169.9,169.25,167.28,21894781,366265669295000.0,111389,4500471,0.20550000000000002
2020-07-14,HINDALCO,EQ,169.25,167.7,168.7,161.95,163.55,163.8,164.91,16396527,270403166450000.0,106470,4282346,0.2612
2020-07-15,HINDALCO,EQ,163.8,166.35,168.5,164.5,165.1,165.4,166.71,11233336,187267588530000.0,58796,2785772,0.24800000000000003
2020-07-16,HINDALCO,EQ,165.4,164.9,166.8,161.05,165.3,166.05,163.9,12768487,209272709035000.0,76906,2073999,0.1624
2020-07-17,HINDALCO,EQ,166.05,166.5,169.1,161.15,162.9,162.15,164.95,14372019,237063144805000.03,92806,3691136,0.25680000000000003
2020-07-20,HINDALCO,EQ,162.15,162.2,162.95,159.65,160.95,160.9,161.11,14067880,226652533980000.03,84712,3151331,0.22399999999999998
2020-07-21,HINDALCO,EQ,160.9,162.85,163.0,157.55,159.9,160.0,159.34,13098794,208720477215000.0,74493,4171065,0.3184
2020-07-22,HINDALCO,EQ,160.0,160.55,163.9,157.4,160.05,159.9,161.05,17455793,281130384400000.0,84654,2704230,0.1549
