Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,INDUSINDBK,EQ,422.35,455.0,463.7,444.0,453.0,451.6,453.85,42805772,1942734357125000.0,483532,5790419,0.1353
2020-06-09,INDUSINDBK,EQ,451.6,459.95,478.0,452.35,463.8,463.9,466.61,40690667,1898671468970000.0,421563,4647605,0.1142
2020-06-10,INDUSINDBK,EQ,463.9,464.0,510.25,463.15,510.25,499.6,483.48,42547739,2057089684780000.0,486516,5769174,0.1356
2020-06-11,INDUSINDBK,EQ,499.6,510.25,548.5,505.1,521.3,523.15,530.88,78670148,4176445243615000.0,894762,8276698,0.1052
2020-06-12,INDUSINDBK,EQ,523.15,490.0,534.7,483.3,527.0,528.45,507.13,57432454,2912588747000000.0,631593,3304352,0.0575
2020-06-15,INDUSINDBK,EQ,528.45,525.0,525.0,483.5,490.4,490.55,499.54,45035670,2249716637775000.0,499890,4788045,0.1063
2020-06-16,INDUSINDBK,EQ,490.55,510.0,515.0,456.3,476.9,481.8,485.82,50389445,2448025248190000.0,557092,4511698,0.0895
2020-06-17,INDUSINDBK,EQ,481.8,472.6,502.0,468.0,490.0,491.15,489.56,40940892,2004312565780000.0,443733,2745657,0.0671
2020-06-18,INDUSINDBK,EQ,491.15,489.5,502.95,482.15,496.4,499.2,495.03,25255894,1250245398950000.0,293390,3113134,0.1233
2020-06-19,INDUSINDBK,EQ,499.2,503.0,510.5,472.15,488.2,483.65,490.93,41824767,2053305928320000.0,469525,8453764,0.2021
2020-06-22,INDUSINDBK,EQ,483.65,490.05,502.05,485.85,491.0,489.9,495.63,27934771,1384543405075000.0,316523,7304216,0.2615
2020-06-23,INDUSINDBK,EQ,489.9,499.0,524.0,497.2,521.9,520.4,513.4,45717490,2347113255150000.0,512550,7090302,0.3373
2020-06-24,INDUSINDBK,EQ,520.4,530.0,530.45,476.1,485.85,481.7,500.99,43258366,2167191399134999.8,509473,10413138,0.2407
2020-06-25,INDUSINDBK,EQ,481.7,480.0,490.95,461.0,475.85,475.15,476.78,37361371,1781325264625000.0,526355,7298422,0.19530000000000003
2020-06-26,INDUSINDBK,EQ,475.15,483.0,501.0,481.05,493.0,492.55,490.35,33900526,1662303043465000.0,369426,5549278,0.1637
2020-06-29,INDUSINDBK,EQ,492.55,482.0,487.0,472.5,482.1,480.0,478.81,19599121,938425803275000.0,218753,2728793,0.1392
2020-06-30,INDUSINDBK,EQ,480.0,489.0,494.0,472.0,475.4,474.8,482.45,17437015,841240790865000.0,188688,2543546,0.1459
2020-07-01,INDUSINDBK,EQ,474.8,480.5,494.6,475.15,492.2,492.45,487.13,20509479,999078865829999.9,227925,4005449,0.19530000000000003
2020-07-02,INDUSINDBK,EQ,492.45,498.0,508.0,493.0,494.0,494.8,500.33,22971641,1149349615215000.0,261630,2767717,0.12050000000000001
2020-07-03,INDUSINDBK,EQ,494.8,499.85,500.0,484.35,487.5,487.2,489.81,15633607,765748958000000.0,180474,2516680,0.161
2020-07-06,INDUSINDBK,EQ,487.2,498.0,509.0,493.55,496.9,495.9,502.1,24848530,1247656307895000.0,290180,4095412,0.1648
2020-07-07,INDUSINDBK,EQ,495.9,497.0,530.0,492.45,524.95,526.3,512.53,42697410,2188383068259999.8,471629,8125230,0.19030000000000002
2020-07-08,INDUSINDBK,EQ,526.3,534.0,577.5,532.0,550.0,552.6,560.57,81336450,4559504775205000.0,838705,5764157,0.0709
2020-07-09,INDUSINDBK,EQ,552.6,557.95,569.95,550.3,557.0,556.55,558.16,26574250,1483272477490000.0,308779,2714199,0.10210000000000001
2020-07-10,INDUSINDBK,EQ,556.55,552.3,554.45,532.4,540.25,539.25,542.18,26964983,1461989191785000.0,315487,3011918,0.11170000000000001
2020-07-13,INDUSINDBK,EQ,539.25,549.7,555.0,534.5,539.1,539.65,541.27,16508012,893521104279999.9,191261,1765494,0.1069
2020-07-14,INDUSINDBK,EQ,539.65,535.0,535.0,505.05,510.0,510.8,514.74,22221590,1143833086950000.0,268753,3534295,0.159
2020-07-15,INDUSINDBK,EQ,510.8,517.85,527.8,500.0,505.0,503.55,517.01,21841548,1129222721000000.0,233194,2133189,0.0977
2020-07-16,INDUSINDBK,EQ,503.55,508.0,522.0,490.25,520.5,518.6,507.48,21502389,1091192645454999.9,273467,2471902,0.115
2020-07-17,INDUSINDBK,EQ,518.6,522.3,526.5,512.0,522.0,520.8,518.41,14445601,748869207600000.0,166302,1711530,0.1185
2020-07-20,INDUSINDBK,EQ,520.8,524.95,541.65,521.65,523.2,528.75,530.71,19937476,1058098513204999.9,237717,2148266,0.10779999999999999
2020-07-21,INDUSINDBK,EQ,528.75,535.7,539.75,520.7,524.95,523.5,527.15,13311247,701698491000000.0,143734,2098557,0.1577
2020-07-22,INDUSINDBK,EQ,523.5,528.0,528.55,508.0,513.9,513.55,516.54,15202454,785267644615000.0,184767,2767600,0.182
2020-07-23,INDUSINDBK,EQ,513.55,515.5,521.0,510.1,513.7,513.9,514.96,11300648,581943552090000.0,135381,1692007,0.1497
2020-07-24,INDUSINDBK,EQ,513.9,505.8,536.7,500.0,521.85,522.25,519.39,31278107,1624564194375000.0,349032,2931022,0.09369999999999999
2020-07-27,INDUSINDBK,EQ,522.25,522.55,523.85,505.0,506.95,506.65,510.12,12280579,626459612150000.0,151425,1937360,0.1578
2020-07-28,INDUSINDBK,EQ,506.65,512.0,529.0,511.4,527.4,526.95,522.05,16991547,887036992410000.0,230624,3788938,0.223
2020-07-29,INDUSINDBK,EQ,526.95,534.0,564.75,532.25,543.0,550.5,550.73,37044658,2040177140565000.2,422042,9964538,0.269
2020-07-30,INDUSINDBK,EQ,550.5,545.0,545.95,515.5,521.05,519.85,530.23,13848787,734309666995000.0,183799,2391960,0.1727
