Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,IOC,EQ,89.4,92.9,96.4,92.1,93.35,93.1,93.98,39389102,370178431735000.0,147040,11660947,0.29600000000000004
2020-06-09,IOC,EQ,93.1,93.35,93.6,90.1,90.7,90.65,91.71,16781255,153892793210000.0,76418,3820865,0.2277
2020-06-10,IOC,EQ,90.65,90.6,91.95,89.1,90.1,89.95,90.07,13668132,123108351395000.0,57728,2881092,0.2108
2020-06-11,IOC,EQ,89.95,90.1,93.35,87.9,88.65,88.35,90.85,29700148,269839150190000.0,112293,6478408,0.2181
2020-06-12,IOC,EQ,88.35,85.0,88.55,85.0,88.35,88.3,87.26,21617576,188644813320000.0,75833,3709892,0.1716
2020-06-15,IOC,EQ,88.3,88.15,88.2,85.9,86.1,86.2,86.96,35101481,305256513300000.0,62405,21889645,0.6236
2020-06-16,IOC,EQ,86.2,87.35,88.25,83.85,84.85,84.85,86.05,18620672,160230800080000.0,59588,6229125,0.3345
2020-06-17,IOC,EQ,84.85,84.5,85.85,83.85,84.3,84.35,84.9,12560184,106638649985000.0,52485,3726808,0.2967
2020-06-18,IOC,EQ,84.35,84.3,85.5,83.75,85.2,84.85,84.79,14843028,125859295700000.0,48307,5513722,0.3715
2020-06-19,IOC,EQ,84.85,86.0,86.1,84.7,85.3,85.3,85.25,21537953,183613661005000.0,58110,10299820,0.4782
2020-06-22,IOC,EQ,85.3,85.85,88.3,85.5,88.2,88.05,87.27,22605365,197270467575000.0,80834,8173263,0.3616
2020-06-23,IOC,EQ,88.05,88.8,90.5,88.15,89.5,89.35,89.29,31797103,283904806360000.0,82766,10143807,0.6756000000000001
2020-06-24,IOC,EQ,89.35,90.5,90.5,86.05,87.0,87.1,88.6,29648026,262693804505000.03,118530,13102983,0.44200000000000006
2020-06-25,IOC,EQ,87.1,85.2,88.1,84.7,85.25,85.05,85.97,25734149,221247106310000.0,89407,6703496,0.2605
2020-06-26,IOC,EQ,85.05,85.9,89.95,85.75,89.1,89.15,88.77,46496322,412738686530000.0,152542,15320082,0.3295
2020-06-29,IOC,EQ,89.15,89.5,90.7,86.5,87.15,87.1,87.99,21451435,188756845575000.0,75857,4873113,0.22719999999999999
2020-06-30,IOC,EQ,87.1,88.3,88.45,84.75,85.6,85.35,86.15,16344707,140802097660000.0,64626,6174420,0.3778
2020-07-01,IOC,EQ,85.35,85.65,86.15,84.3,85.75,85.65,85.29,14331346,122233486650000.0,49591,3496851,0.244
2020-07-02,IOC,EQ,85.65,86.5,88.9,85.95,88.45,88.35,87.98,23312656,205113165405000.0,76107,5315746,0.228
2020-07-03,IOC,EQ,88.35,88.4,89.1,87.2,87.8,87.85,87.89,9989790,87796348670000.0,36973,1821611,0.18230000000000002
2020-07-06,IOC,EQ,87.85,88.05,89.35,87.0,87.9,87.95,88.35,13522961,119472852034999.98,47163,3878430,0.2868
2020-07-07,IOC,EQ,87.95,88.0,88.05,85.9,86.2,86.15,86.55,12790857,110701998000000.0,52845,5003825,0.3912
2020-07-08,IOC,EQ,86.15,86.25,88.9,86.05,86.8,86.95,87.33,16678756,145650608800000.0,57392,4414426,0.2647
2020-07-09,IOC,EQ,86.95,87.45,88.45,86.0,86.8,86.5,87.09,15305046,133297512930000.0,48027,4891082,0.3196
2020-07-10,IOC,EQ,86.5,86.45,86.55,85.4,86.15,86.15,85.99,11091008,95372187925000.0,38811,2916233,0.2629
2020-07-13,IOC,EQ,86.15,87.0,87.75,86.2,87.3,87.4,87.09,16659178,145090851325000.0,47168,4681902,0.281
2020-07-14,IOC,EQ,87.4,86.75,87.8,85.9,86.3,86.4,86.62,15345709,132922174955000.0,39690,5675746,0.3699
2020-07-15,IOC,EQ,86.4,86.8,87.0,85.1,85.3,85.65,85.88,16532721,141977793605000.0,51982,5665783,0.34270000000000006
2020-07-16,IOC,EQ,85.65,85.45,85.55,82.5,84.0,84.25,83.7,22609832,189244221200000.0,78847,6172185,0.273
2020-07-17,IOC,EQ,84.25,84.65,87.7,83.55,86.9,86.9,86.15,51152122,440695933510000.06,119946,16684022,0.3262
2020-07-20,IOC,EQ,86.9,86.95,88.5,86.15,88.4,88.3,87.79,20607847,180918887590000.0,63264,6244532,0.303
