Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,ITC,EQ,200.0,202.9,203.65,197.0,197.4,197.65,199.98,19555380,391075984985000.0,147273,7380207,0.3774
2020-06-09,ITC,EQ,197.65,198.25,206.2,197.65,198.3,198.5,202.14,39914936,806844191850000.0,264818,12226150,0.3063
2020-06-10,ITC,EQ,198.5,199.45,203.15,198.3,199.5,199.05,200.59,27204677,545689600885000.06,158372,9477141,0.34840000000000004
2020-06-11,ITC,EQ,199.05,200.0,201.25,193.6,194.65,194.25,197.64,19847762,392265613785000.0,136178,6873014,0.34630000000000005
2020-06-12,ITC,EQ,194.25,188.95,195.2,187.85,193.95,193.9,192.14,22562987,433523550039999.94,132980,7175671,0.318
2020-06-15,ITC,EQ,193.9,193.9,193.95,186.3,187.5,187.2,188.93,24463651,462199131325000.0,188440,12049536,0.4925
2020-06-16,ITC,EQ,187.2,190.8,190.95,181.9,184.6,185.0,185.91,27637395,513816858455000.0,175837,10682781,0.3865
2020-06-17,ITC,EQ,185.0,184.0,185.0,180.7,180.95,181.2,182.94,24028372,439585844370000.0,158240,11630369,0.484
2020-06-18,ITC,EQ,181.2,181.2,187.5,180.7,187.0,186.6,185.23,28887658,535099263580000.0,161396,10191526,0.3528
2020-06-19,ITC,EQ,186.6,187.1,187.95,183.6,184.5,184.05,184.69,30531484,563895679815000.0,149109,14906263,0.4882
2020-06-22,ITC,EQ,184.05,186.5,187.5,183.15,184.95,185.0,184.96,31396392,580704227165000.0,202541,13660758,0.4351
2020-06-23,ITC,EQ,185.0,185.4,187.5,184.75,186.0,185.85,186.05,26547403,493903908000000.0,130988,5692938,0.47009999999999996
2020-06-24,ITC,EQ,185.85,187.4,194.7,186.15,192.1,191.85,192.37,54653037,1051350953840000.0,288784,18704785,0.3422
2020-06-25,ITC,EQ,191.85,192.25,203.5,191.65,202.5,202.1,198.36,75575878,1499128588435000.0,385549,25859893,0.3422
2020-06-26,ITC,EQ,202.1,206.0,209.4,193.3,195.9,195.2,199.94,71957460,1438730161755000.0,358652,20114551,0.2795
2020-06-29,ITC,EQ,195.2,202.5,203.0,196.2,197.6,197.25,198.59,91504651,1817172161275000.0,388040,28967057,0.3166
2020-06-30,ITC,EQ,197.25,199.4,199.4,194.0,195.25,194.65,196.2,41216021,808660192990000.0,160995,22246990,0.5398
2020-07-01,ITC,EQ,194.65,194.65,203.85,194.65,203.7,202.9,199.68,44298379,884539457015000.0,251854,15980116,0.3607
