Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,M&M,EQ,484.2,485.5,494.15,468.25,471.25,470.85,482.67,5955229,287440179565000.0,97007,1299222,0.2182
2020-06-09,M&M,EQ,470.85,473.8,482.8,463.3,475.65,478.75,472.24,7656758,361582953380000.0,102350,1549853,0.2024
2020-06-10,M&M,EQ,478.75,476.15,483.7,468.85,474.9,472.05,475.95,4849036,230791471180000.03,101470,1281410,0.2643
2020-06-11,M&M,EQ,472.05,472.0,480.0,469.5,473.5,474.55,475.92,4331785,206157305560000.0,73370,1104479,0.255
2020-06-12,M&M,EQ,474.55,457.0,512.9,456.1,510.45,508.45,484.85,18369324,890630469370000.1,207214,4600922,0.2505
2020-06-15,M&M,EQ,508.45,505.15,520.95,498.7,510.0,508.15,512.48,17605886,902263915785000.0,214315,4708895,0.2675
2020-06-16,M&M,EQ,508.15,517.1,519.0,501.3,506.0,506.75,511.35,6712936,343267448855000.0,99188,2266547,0.3376
2020-06-17,M&M,EQ,506.75,504.9,504.9,492.5,497.0,497.6,497.59,9274056,461463262860000.06,109803,3279267,0.3536
2020-06-18,M&M,EQ,497.6,496.9,508.9,492.0,506.0,506.6,502.92,7114852,357820246300000.0,108621,2949105,0.41450000000000004
2020-06-19,M&M,EQ,506.6,506.6,506.6,496.4,499.95,500.05,501.48,9811021,492001373964999.94,104861,4684484,0.47750000000000004
2020-06-22,M&M,EQ,500.05,501.75,502.25,494.1,498.5,498.75,498.0,5149781,256461230580000.03,96936,2001147,0.3886
2020-06-23,M&M,EQ,498.75,500.0,519.9,497.6,515.05,516.4,509.44,9132472,465241382889999.94,132410,2125881,0.535
2020-06-24,M&M,EQ,516.4,520.0,527.65,512.55,515.0,515.35,519.85,7569986,393528177715000.0,147317,3061414,0.4044
2020-06-25,M&M,EQ,515.35,509.9,516.35,503.35,506.7,507.25,508.87,5249631,267136077975000.0,74896,2084349,0.397
2020-06-26,M&M,EQ,507.25,515.0,515.25,498.7,500.0,501.4,506.47,4079405,206609778225000.0,83611,1733586,0.425
2020-06-29,M&M,EQ,501.4,494.1,510.95,493.05,505.1,507.45,503.55,4459962,224582034665000.0,77159,1216342,0.2727
2020-06-30,M&M,EQ,507.45,509.0,515.5,507.1,510.65,510.7,510.71,5487685,280260112675000.0,83132,2514735,0.4583
2020-07-01,M&M,EQ,510.7,513.75,521.4,494.25,502.3,498.95,508.38,8990865,457079932264999.94,111670,3104479,0.3453
2020-07-02,M&M,EQ,498.95,506.5,532.0,504.4,531.0,529.7,521.24,16513525,860751470725000.0,187316,4282980,0.2594
2020-07-03,M&M,EQ,529.7,531.4,535.5,524.2,532.3,530.5,529.59,7982336,422732615175000.0,116954,2609627,0.32689999999999997
2020-07-06,M&M,EQ,530.5,533.65,573.55,533.65,569.7,570.55,558.33,16728409,933988928790000.0,192165,2807917,0.1679
2020-07-07,M&M,EQ,570.55,565.0,568.0,551.65,560.3,560.0,559.0,9208254,514738125780000.0,161209,1831050,0.1988
2020-07-08,M&M,EQ,560.0,564.0,568.25,549.0,551.2,551.25,560.47,5173213,289942159910000.0,77899,1694957,0.3276
2020-07-09,M&M,EQ,551.25,554.0,564.3,548.05,563.0,560.3,555.68,4123903,229157558075000.0,97132,1256869,0.3048
2020-07-10,M&M,EQ,560.3,555.3,568.95,552.0,554.8,554.85,559.12,5752463,321631644605000.0,87823,1284257,0.2233
2020-07-13,M&M,EQ,554.85,560.0,560.5,549.2,553.5,555.85,555.15,3167393,175836494480000.0,74671,810945,0.256
2020-07-14,M&M,EQ,555.85,553.0,553.95,538.0,543.75,545.2,546.65,3097320,169315305185000.0,48728,797335,0.25739999999999996
2020-07-15,M&M,EQ,545.2,550.0,559.7,542.75,552.8,550.15,550.15,5671830,312036346010000.0,86619,1436751,0.25329999999999997
2020-07-16,M&M,EQ,550.15,547.0,574.5,542.55,568.95,570.9,565.8,11752682,664967939095000.0,144479,2957274,0.2516
2020-07-17,M&M,EQ,570.9,571.95,591.25,565.5,587.55,588.8,580.02,9124229,529225003645000.0,149055,2883606,0.316
2020-07-20,M&M,EQ,588.8,588.9,597.6,582.15,588.55,594.0,589.74,5771917,340395187710000.0,100916,1667335,0.2889
