Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,NTPC,EQ,97.95,98.95,100.2,97.75,98.7,98.55,98.79,14173729,140020603520000.0,71957,4812934,0.3396
2020-06-09,NTPC,EQ,98.55,99.0,99.7,97.2,98.1,98.0,98.2,14232535,139766122405000.0,50370,8069678,0.5670000000000001
2020-06-10,NTPC,EQ,98.0,98.15,100.15,97.25,98.3,98.15,98.55,12104523,119290598320000.0,82205,4740253,0.39159999999999995
2020-06-11,NTPC,EQ,98.15,98.15,99.7,96.8,98.1,98.05,98.06,10258977,100601090115000.0,43230,3755106,0.36600000000000005
2020-06-12,NTPC,EQ,98.05,94.5,97.95,94.3,96.7,96.9,96.28,10925628,105195076190000.0,42744,3777532,0.3457
2020-06-15,NTPC,EQ,96.9,96.7,96.95,92.6,93.3,93.2,93.88,10980604,103083190955000.0,47558,3457456,0.3149
2020-06-16,NTPC,EQ,93.2,94.95,95.1,92.25,92.55,92.8,93.53,8757045,81906447485000.0,44095,3451221,0.39409999999999995
2020-06-17,NTPC,EQ,92.8,92.95,93.1,90.85,91.4,91.5,91.76,17081361,156746614705000.0,72386,5688995,0.3331
2020-06-18,NTPC,EQ,91.5,91.8,94.3,89.9,93.0,92.7,92.13,16520112,152207323595000.0,68282,5620139,0.34020000000000006
2020-06-19,NTPC,EQ,92.7,93.05,94.05,92.4,92.9,93.0,93.18,13836696,128937137795000.0,88440,7079912,0.5117
2020-06-22,NTPC,EQ,93.0,94.1,95.85,93.35,95.65,95.3,94.67,18868376,178627331580000.0,101965,8323888,0.4412
2020-06-23,NTPC,EQ,95.3,95.1,101.15,95.0,100.8,100.75,99.23,20333453,201759472480000.0,111990,3319757,0.4123
2020-06-24,NTPC,EQ,100.75,102.0,103.8,96.75,97.05,97.05,100.27,24055053,241196663919999.97,133602,9837966,0.409
2020-06-25,NTPC,EQ,97.05,97.05,98.55,94.35,95.4,96.1,96.58,69278240,669056689650000.0,159201,36056005,0.5205
2020-06-26,NTPC,EQ,96.1,96.4,97.4,95.55,97.15,97.0,96.75,15572502,150660254295000.0,54325,7857453,0.5046
2020-06-29,NTPC,EQ,97.0,97.65,98.05,94.45,95.1,94.9,96.26,18135588,174571828715000.0,67034,8313798,0.45840000000000003
2020-06-30,NTPC,EQ,94.9,97.0,97.75,95.2,95.3,95.8,96.53,18496450,178539517690000.0,81683,7018343,0.37939999999999996
2020-07-01,NTPC,EQ,95.8,94.7,94.7,92.3,93.75,93.6,93.18,21639174,201635496270000.0,86539,8993246,0.4156
2020-07-02,NTPC,EQ,93.6,94.5,94.5,93.15,93.35,93.4,93.52,14333507,134043233034999.98,68103,7273249,0.5074000000000001
2020-07-03,NTPC,EQ,93.4,93.6,95.35,92.75,95.25,94.5,93.89,15274892,143421840895000.0,62871,5451026,0.3569
2020-07-06,NTPC,EQ,94.5,95.9,96.4,94.85,95.3,95.2,95.59,11830916,113089233250000.0,54515,4514410,0.3816
2020-07-07,NTPC,EQ,95.2,95.4,95.45,92.25,92.8,92.55,93.15,18786161,174988573535000.0,100417,9947661,0.5295000000000001
2020-07-08,NTPC,EQ,92.55,92.85,92.85,90.85,91.2,91.0,91.66,26257436,240687689940000.0,110150,14761827,0.5622
2020-07-09,NTPC,EQ,91.0,91.3,92.0,90.8,91.35,91.2,91.41,11910945,108881051240000.02,62410,5114574,0.4294
2020-07-10,NTPC,EQ,91.2,91.2,91.3,89.75,90.25,90.4,90.28,12213263,110259208525000.0,74875,4973882,0.4073
2020-07-13,NTPC,EQ,90.4,91.05,92.85,89.5,89.75,89.9,91.04,17512895,159437659040000.0,63705,5496683,0.3139
2020-07-14,NTPC,EQ,89.9,89.8,89.9,87.4,87.95,87.65,88.29,14242251,125750682309999.98,93070,6477161,0.4548
2020-07-15,NTPC,EQ,87.65,88.3,89.75,87.75,88.0,88.05,88.68,11582899,102715833825000.0,43732,4868770,0.4203
