Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,POWERGRID,EQ,171.45,173.45,174.9,170.85,172.5,172.35,172.82,6594521,113966517915000.02,51777,2213401,0.3356
2020-06-09,POWERGRID,EQ,172.35,174.0,174.05,170.0,170.1,170.55,171.36,4732083,81090496645000.0,31922,1595558,0.3372
2020-06-10,POWERGRID,EQ,170.55,170.55,171.25,168.6,170.0,170.05,170.03,5682197,96614910315000.0,46333,2539321,0.44689999999999996
2020-06-11,POWERGRID,EQ,170.05,168.05,178.3,167.85,171.15,171.0,172.1,12438594,214068482385000.0,73833,3003477,0.2415
2020-06-12,POWERGRID,EQ,171.0,166.05,169.4,165.6,166.0,166.3,167.14,11437763,191165823310000.0,41100,4359768,0.3812
2020-06-15,POWERGRID,EQ,166.3,165.2,166.0,162.6,163.55,163.25,164.15,7781253,127732614359999.98,35484,3026792,0.389
2020-06-16,POWERGRID,EQ,163.25,165.7,166.25,161.45,161.6,162.7,164.19,7859937,129054688490000.02,35799,3872406,0.4927
2020-06-17,POWERGRID,EQ,162.7,160.85,161.8,158.35,159.2,159.5,159.67,15958954,254815945940000.0,87630,9791375,0.6135
2020-06-18,POWERGRID,EQ,159.5,160.7,166.3,159.5,165.7,165.45,163.65,11093113,181540181700000.0,57749,3825325,0.3448
2020-06-19,POWERGRID,EQ,165.45,165.85,172.3,165.05,172.3,171.4,169.3,12137348,205486513325000.0,40238,6880566,0.5669
2020-06-22,POWERGRID,EQ,171.4,176.4,179.75,170.65,177.95,178.6,175.13,18585881,325489467740000.0,99936,7423576,0.3994
2020-06-23,POWERGRID,EQ,178.6,181.5,189.0,179.05,185.5,187.45,184.61,19292785,356154506440000.0,84763,3778655,0.484
2020-06-24,POWERGRID,EQ,187.45,186.75,188.4,177.0,177.9,178.5,181.98,18512376,336894376475000.0,88165,9417425,0.5086999999999999
2020-06-25,POWERGRID,EQ,178.5,178.4,183.3,174.35,178.25,179.35,179.6,23012314,413296428875000.0,89366,9365064,0.40700000000000003
2020-06-26,POWERGRID,EQ,179.35,180.95,182.1,178.15,179.0,179.2,179.64,6724171,120792750740000.02,52616,2688541,0.3998
2020-06-29,POWERGRID,EQ,179.2,178.0,180.3,177.15,178.1,178.25,178.42,4245301,75742869795000.0,22405,1518791,0.3578
2020-06-30,POWERGRID,EQ,178.25,179.0,179.95,174.0,174.8,174.85,176.95,6687893,118341876775000.0,57865,2895543,0.433
2020-07-01,POWERGRID,EQ,174.85,175.0,175.4,171.9,173.75,173.45,173.54,8555691,148471346610000.0,48649,4239494,0.4955
2020-07-02,POWERGRID,EQ,173.45,173.5,176.8,172.6,175.45,175.1,174.58,8708121,152030128905000.0,48132,4748330,0.5453
2020-07-03,POWERGRID,EQ,175.1,176.0,179.4,175.1,176.9,177.6,177.78,12780027,227201777525000.0,73012,7234124,0.5660000000000001
2020-07-06,POWERGRID,EQ,177.6,178.4,178.7,175.8,178.0,178.0,177.44,6595019,117019301745000.0,44791,3408108,0.5168
2020-07-07,POWERGRID,EQ,178.0,178.5,178.5,171.7,172.7,173.1,173.25,11731617,203247635665000.0,87242,5523801,0.4708
2020-07-08,POWERGRID,EQ,173.1,173.0,174.65,168.8,169.35,169.75,171.83,9460438,162559988585000.0,72203,5386940,0.5694
2020-07-09,POWERGRID,EQ,169.75,170.5,172.5,169.5,171.65,171.55,171.05,9061924,155008348020000.0,47411,4016420,0.44320000000000004
2020-07-10,POWERGRID,EQ,171.55,171.6,173.75,169.5,172.3,172.6,172.36,13392727,230831057505000.03,66745,5894700,0.4401
2020-07-13,POWERGRID,EQ,172.6,172.6,174.2,168.2,168.8,169.1,170.72,6077163,103750705255000.0,30878,1346399,0.22160000000000002
2020-07-14,POWERGRID,EQ,169.1,168.5,168.8,163.0,163.55,163.35,165.25,9162722,151411513240000.0,57508,4186225,0.4569
2020-07-15,POWERGRID,EQ,163.35,165.05,166.3,163.1,163.7,163.55,164.66,8472074,139496968784999.98,35577,3632133,0.42869999999999997
2020-07-16,POWERGRID,EQ,163.55,164.5,164.5,159.5,162.0,162.2,161.47,8696701,140421981295000.0,46695,3416803,0.3929
2020-07-17,POWERGRID,EQ,162.2,161.65,163.85,161.65,163.1,163.3,162.83,7712972,125592754430000.0,42840,3630664,0.4707
2020-07-20,POWERGRID,EQ,163.3,163.3,164.25,162.35,163.85,163.5,163.23,4719748,77040097590000.0,36424,1671783,0.3542
2020-07-21,POWERGRID,EQ,163.5,164.1,174.45,164.1,174.0,173.65,170.18,18966139,322759298485000.0,89245,7907781,0.4169
2020-07-22,POWERGRID,EQ,173.65,174.0,181.4,173.8,179.9,179.65,178.38,25917940,462321693950000.0,109195,7998639,0.3086
2020-07-23,POWERGRID,EQ,179.65,178.0,182.55,177.45,181.95,181.75,180.63,10540325,190386430060000.0,51464,3529010,0.3348
2020-07-24,POWERGRID,EQ,181.75,179.5,183.25,178.65,181.25,182.0,180.89,8121883,146918103415000.0,43286,2608130,0.3211
2020-07-27,POWERGRID,EQ,182.0,181.3,181.55,178.75,180.55,180.9,179.91,6715553,120819358920000.0,54766,2628688,0.3914
2020-07-28,POWERGRID,EQ,180.9,180.2,182.85,178.7,181.8,181.9,180.6,6690234,120822340255000.0,46586,2700832,0.4037
2020-07-29,POWERGRID,EQ,181.9,181.3,184.5,180.5,180.95,181.75,182.57,7501498,136956177690000.02,51356,2581783,0.3442
2020-07-30,POWERGRID,EQ,181.75,182.5,183.25,175.6,177.25,176.85,178.03,13497261,240291795710000.0,80612,6502756,0.4818
2020-07-31,POWERGRID,EQ,176.85,176.6,179.35,176.2,178.5,178.3,177.72,8074445,143502108780000.0,44963,3051647,0.3779
2020-08-03,POWERGRID,EQ,178.3,179.0,179.5,174.1,177.5,178.55,176.83,7031848,124342921790000.02,87257,3427969,0.4875
2020-08-04,POWERGRID,EQ,178.55,177.85,179.05,175.6,177.6,178.25,177.84,5416560,96328623580000.0,82737,2489915,0.4597
2020-08-05,POWERGRID,EQ,178.25,177.05,177.95,175.15,176.5,175.95,176.21,5950020,104847669800000.0,48631,2848854,0.47880000000000006
2020-08-06,POWERGRID,EQ,175.95,176.65,177.75,175.4,176.0,175.9,176.37,4817284,84962766255000.0,47455,2336606,0.485
2020-08-07,POWERGRID,EQ,175.9,175.8,177.95,175.25,176.0,175.95,176.34,4515135,79620583750000.0,61433,1811029,0.4011
2020-08-10,POWERGRID,EQ,175.95,176.85,178.8,176.25,177.75,177.25,177.4,4368462,77498499140000.0,43469,1989311,0.4554
2020-08-11,POWERGRID,EQ,177.25,178.15,182.35,175.55,176.9,176.85,177.92,12281375,218509545235000.0,88378,5742441,0.4676
2020-08-12,POWERGRID,EQ,176.85,176.2,179.45,173.2,178.5,178.05,177.16,10932584,193680480400000.0,63900,6379472,0.5835
2020-08-13,POWERGRID,EQ,178.05,179.95,180.3,176.4,177.15,178.75,178.74,5985571,106985485025000.0,67233,3078646,0.5143
2020-08-14,POWERGRID,EQ,178.75,180.65,180.65,174.1,175.55,175.4,176.33,9636131,169909921835000.0,79789,4902535,0.5088
2020-08-17,POWERGRID,EQ,175.4,176.0,182.5,175.6,178.8,178.65,179.67,9769553,175525620285000.0,90188,2935515,0.3005
2020-08-18,POWERGRID,EQ,178.65,179.85,179.9,176.55,178.0,177.75,177.83,7813326,138945016780000.0,82294,3642447,0.4662
2020-08-19,POWERGRID,EQ,177.75,178.5,179.4,177.05,177.9,177.35,177.83,6975364,124040635980000.0,61602,3727922,0.5344
2020-08-20,POWERGRID,EQ,177.35,177.2,188.1,176.45,181.95,181.2,182.85,24785430,453211758070000.0,146403,6839714,0.276
2020-08-21,POWERGRID,EQ,181.2,183.0,190.5,182.6,189.6,189.1,188.43,28097368,529444665875000.0,128522,4304537,0.1532
2020-08-24,POWERGRID,EQ,189.1,189.65,190.65,184.4,185.3,185.25,186.72,11095371,207175773830000.0,61138,3595122,0.324
2020-08-25,POWERGRID,EQ,185.25,186.5,186.8,183.0,184.85,184.75,184.62,5686827,104990141780000.0,35383,1867031,0.3283
2020-08-26,POWERGRID,EQ,184.75,187.0,189.65,184.1,185.95,185.35,186.5,10125354,188835978515000.0,55384,3216232,0.31760000000000005
2020-08-27,POWERGRID,EQ,185.35,186.9,187.65,184.7,185.5,185.2,185.77,5829571,108295113100000.0,36521,2639170,0.45270000000000005
2020-08-28,POWERGRID,EQ,185.2,186.5,186.75,181.8,182.5,182.3,183.45,6815971,125035660700000.0,68462,3229585,0.47380000000000005
2020-08-31,POWERGRID,EQ,182.3,183.5,185.35,178.0,180.0,178.95,180.95,13646095,246932339919999.97,82018,6476589,0.4746
2020-09-01,POWERGRID,EQ,178.95,179.05,182.3,178.6,180.4,180.4,180.61,9284259,167681094520000.0,55558,3653680,0.3935
2020-09-02,POWERGRID,EQ,180.4,177.95,183.1,175.25,182.0,181.2,179.62,17414804,312796464785000.0,138937,7572277,0.43479999999999996
2020-09-03,POWERGRID,EQ,181.2,180.4,181.45,177.65,178.25,178.5,179.04,6685042,119685811320000.0,56124,2563650,0.3835
2020-09-04,POWERGRID,EQ,178.5,177.2,178.0,173.7,175.0,175.05,175.36,9772835,171379059120000.0,62933,3884318,0.3975
2020-09-07,POWERGRID,EQ,175.05,175.05,176.95,173.05,175.25,176.15,174.86,7351345,128547165095000.0,49285,2486354,0.3382
2020-09-08,POWERGRID,EQ,176.15,175.85,176.0,173.75,174.65,174.9,175.02,5398809,94492553385000.0,36442,2003620,0.3711
2020-09-09,POWERGRID,EQ,174.9,175.0,177.95,173.4,175.45,175.25,174.94,11318900,198018168555000.0,66534,3259869,0.28800000000000003
2020-09-10,POWERGRID,EQ,175.25,176.0,178.45,174.15,178.1,177.6,175.66,11044892,194011130290000.0,50386,6827491,0.6182
2020-09-11,POWERGRID,EQ,177.6,178.1,178.3,174.1,174.8,175.15,175.31,17540145,307501946280000.0,50515,12937102,0.7376
2020-09-14,POWERGRID,EQ,175.15,177.5,177.5,170.75,171.05,171.5,173.41,7956020,137968913700000.0,67116,3155566,0.39659999999999995
2020-09-15,POWERGRID,EQ,171.5,171.85,173.9,171.0,173.45,173.3,172.95,4420570,76454485250000.0,40144,1426128,0.3226
2020-09-16,POWERGRID,EQ,173.3,173.0,173.45,170.8,172.0,171.95,171.78,7425884,127564300084999.98,43527,4686529,0.6311
2020-09-17,POWERGRID,EQ,171.95,171.35,171.4,167.9,168.6,168.3,169.03,6056023,102366817310000.0,45039,2136704,0.3528
2020-09-18,POWERGRID,EQ,168.3,169.1,173.0,167.3,170.95,171.9,170.92,13381032,228704489305000.03,59733,8423443,0.6295000000000001
2020-09-21,POWERGRID,EQ,171.9,171.0,171.7,167.65,169.95,170.5,169.93,7499225,127434160875000.0,43249,3063355,0.40850000000000003
2020-09-22,POWERGRID,EQ,170.5,168.8,170.45,166.5,169.0,168.8,168.52,5084656,85689011200000.0,33714,1453791,0.2859
2020-09-23,POWERGRID,EQ,168.8,169.9,169.9,162.8,164.3,163.9,165.21,4727855,78110659600000.0,33882,985748,0.20850000000000002
2020-09-24,POWERGRID,EQ,163.9,162.25,165.05,158.5,160.4,159.35,161.02,11683418,188130220740000.0,54445,6055128,0.5183
2020-09-25,POWERGRID,EQ,159.35,161.0,162.5,159.7,160.7,160.75,161.12,4928846,79411978755000.0,31993,1689661,0.3428
2020-09-28,POWERGRID,EQ,160.75,161.0,169.05,161.0,168.0,168.15,166.35,9514795,158275651815000.0,47453,2963008,0.3114
2020-09-29,POWERGRID,EQ,168.15,169.0,169.4,162.5,162.75,163.3,164.7,7575867,124773168095000.0,60260,2740502,0.3617
2020-09-30,POWERGRID,EQ,163.3,162.95,163.25,160.3,162.6,162.45,161.64,8071849,130472407570000.0,45109,4091499,0.5069
2020-10-01,POWERGRID,EQ,162.45,164.75,166.0,162.8,164.25,164.6,164.38,8356973,137373061355000.0,40696,2485008,0.2974
2020-10-05,POWERGRID,EQ,164.6,164.0,166.4,162.15,162.55,162.85,163.9,5827561,95511927040000.0,89432,2517995,0.43210000000000004
2020-10-06,POWERGRID,EQ,162.85,163.1,164.4,161.85,163.45,163.2,163.16,5056417,82501305305000.0,61345,1592161,0.3149
