Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,SBILIFE,EQ,796.7,802.0,808.0,776.0,781.0,779.3,791.82,1371775,108619327315000.02,44777,793565,0.5785
2020-06-09,SBILIFE,EQ,779.3,782.1,789.0,752.5,753.1,758.5,773.34,1521254,117644887984999.98,53607,658808,0.43310000000000004
2020-06-10,SBILIFE,EQ,758.5,759.0,760.0,739.7,743.2,741.7,746.21,2283059,170364701075000.0,74569,1077296,0.4719
2020-06-11,SBILIFE,EQ,741.7,740.0,757.6,735.0,738.9,740.9,747.93,1314358,98304566810000.0,42458,554485,0.4219
2020-06-12,SBILIFE,EQ,740.9,730.0,760.9,728.75,750.8,750.45,750.01,4396304,329728594525000.0,69597,1602097,0.3644
2020-06-15,SBILIFE,EQ,750.45,747.9,754.8,740.65,745.05,745.3,746.39,3316726,247555957819999.97,63715,2185069,0.6587999999999999
2020-06-16,SBILIFE,EQ,745.3,751.0,770.7,742.4,769.9,764.1,756.37,1883911,142492510160000.0,47833,756806,0.4017
2020-06-17,SBILIFE,EQ,764.1,766.05,779.5,764.2,770.75,772.05,773.39,1936475,149764095530000.0,56581,800338,0.4133
2020-06-18,SBILIFE,EQ,772.05,769.4,786.4,767.6,772.2,771.6,776.95,951550,73930788105000.0,40811,359866,0.37820000000000004
2020-06-19,SBILIFE,EQ,771.6,779.0,780.85,767.2,779.0,775.85,775.05,2912093,225702821880000.03,60720,1929679,0.6626000000000001
2020-06-22,SBILIFE,EQ,775.85,781.1,790.4,761.5,776.9,777.95,774.75,1164278,90202134545000.0,56366,504033,0.4329
2020-06-23,SBILIFE,EQ,777.95,777.0,805.3,777.0,796.7,796.65,794.62,1506742,119728508050000.0,72563,252285,0.4696
2020-06-24,SBILIFE,EQ,796.65,800.65,810.0,775.55,784.0,780.75,794.59,1699063,135005787395000.0,72402,849096,0.4997
2020-06-25,SBILIFE,EQ,780.75,778.0,792.95,775.1,790.95,786.25,785.16,735191,57724602325000.0,29276,295996,0.4026
2020-06-26,SBILIFE,EQ,786.25,791.1,802.0,782.0,786.0,784.35,789.67,986163,77874368405000.0,35800,574596,0.5827
2020-06-29,SBILIFE,EQ,784.35,780.0,789.85,774.3,787.0,786.8,781.29,597371,46672207505000.0,24214,330433,0.5531
