Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,SUNPHARMA,EQ,494.25,498.75,498.75,485.05,488.7,489.0,490.86,9182445,450732428789999.94,146148,1602028,0.1745
2020-06-09,SUNPHARMA,EQ,489.0,492.0,512.7,492.0,498.45,500.75,505.48,25884208,1308401354780000.0,297673,6277327,0.2425
2020-06-10,SUNPHARMA,EQ,500.75,502.5,507.0,493.55,499.75,499.15,500.72,10636665,532595082175000.0,135548,2384175,0.2241
2020-06-11,SUNPHARMA,EQ,499.15,490.0,493.8,469.1,475.0,473.65,481.15,18547537,892414367110000.0,251481,3552776,0.1915
2020-06-12,SUNPHARMA,EQ,473.65,455.0,481.9,455.0,478.8,480.1,475.83,11499860,547194297200000.0,145048,1536965,0.13369999999999999
2020-06-15,SUNPHARMA,EQ,480.1,481.0,489.4,472.7,484.15,485.8,482.41,10727543,517512148089999.94,133156,1976862,0.1843
2020-06-16,SUNPHARMA,EQ,485.8,489.4,493.5,476.5,483.4,483.4,486.06,11249453,546793425530000.0,147533,2646269,0.2352
2020-06-17,SUNPHARMA,EQ,483.4,484.15,489.75,479.1,484.8,485.65,485.04,8222224,398814394255000.0,100228,2181967,0.26539999999999997
2020-06-18,SUNPHARMA,EQ,485.65,485.65,488.5,483.0,484.45,484.25,485.2,4077225,197826555600000.0,53105,988194,0.24239999999999998
2020-06-19,SUNPHARMA,EQ,484.25,486.8,491.95,485.2,487.95,488.1,488.68,8114876,396559160800000.0,113388,3179636,0.3918
2020-06-22,SUNPHARMA,EQ,488.1,492.2,501.2,486.0,493.5,493.2,493.49,9204207,454220213870000.0,128098,2083211,0.2263
2020-06-23,SUNPHARMA,EQ,493.2,493.2,503.0,489.5,500.0,500.45,498.29,10732868,534806446010000.06,127180,2304872,0.3961
2020-06-24,SUNPHARMA,EQ,500.45,502.0,503.4,481.0,483.95,484.4,492.43,8567595,421893508380000.0,111662,2435238,0.2842
2020-06-25,SUNPHARMA,EQ,484.4,480.3,492.5,477.0,487.2,487.65,486.57,6954202,338370028385000.0,82799,1634473,0.23500000000000001
