Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,TATACONSUM,EQ,379.75,384.0,385.95,377.55,379.0,379.45,381.32,1565959,59712672545000.01,40773,661314,0.42229999999999995
2020-06-09,TATACONSUM,EQ,379.45,382.0,388.85,379.5,384.65,384.25,385.11,2635662,101503095110000.0,47054,1065998,0.4045
2020-06-10,TATACONSUM,EQ,384.25,385.95,393.95,380.2,384.95,384.65,386.46,3409853,131777557934999.98,59943,1054600,0.3093
2020-06-11,TATACONSUM,EQ,384.65,386.0,386.5,374.4,376.0,375.8,379.68,2856042,108437385755000.0,44440,1151624,0.4032
2020-06-12,TATACONSUM,EQ,375.8,365.1,373.05,365.1,371.75,371.0,369.55,3179903,117513663130000.0,50177,1771349,0.557
2020-06-15,TATACONSUM,EQ,371.0,371.5,379.95,366.4,370.5,370.0,371.82,2293579,85278980550000.0,47464,1110836,0.4843
2020-06-16,TATACONSUM,EQ,370.0,376.0,377.95,360.25,369.0,369.05,369.12,2343185,86491268870000.0,35821,1052584,0.44920000000000004
2020-06-17,TATACONSUM,EQ,369.05,366.0,373.25,366.0,370.0,369.6,369.78,2556996,94551744210000.0,39041,1256424,0.4914
2020-06-18,TATACONSUM,EQ,369.6,367.8,374.0,365.0,373.35,372.15,369.18,1929542,71234990800000.0,21059,994858,0.5156000000000001
2020-06-19,TATACONSUM,EQ,372.15,373.85,383.0,373.35,379.0,377.3,377.1,4249130,160235822605000.0,35476,3098711,0.7293000000000001
2020-06-22,TATACONSUM,EQ,377.3,383.0,385.15,377.6,382.65,381.1,380.98,2623145,99936566635000.0,47377,1439936,0.5489
2020-06-23,TATACONSUM,EQ,381.1,383.9,391.9,382.0,389.4,390.85,388.71,3834537,149053622130000.0,61984,955408,0.4844
2020-06-24,TATACONSUM,EQ,390.85,391.9,394.9,379.35,382.45,383.1,384.97,3889495,149735250630000.0,92441,2064310,0.5307000000000001
2020-06-25,TATACONSUM,EQ,383.1,380.0,389.4,377.6,384.0,384.0,384.37,1961942,75412019130000.0,24227,1043741,0.532
2020-06-26,TATACONSUM,EQ,384.0,387.1,388.95,382.5,386.35,385.65,384.94,1759164,67718091029999.99,19822,1016914,0.5781000000000001
2020-06-29,TATACONSUM,EQ,385.65,387.05,392.3,382.15,386.5,386.55,387.63,2764410,107156936410000.0,35381,1303711,0.47159999999999996
