Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,TATASTEEL,EQ,338.95,347.7,350.8,327.35,334.5,333.6,338.85,16481809,558484009830000.0,156820,3152079,0.1912
2020-06-09,TATASTEEL,EQ,333.6,336.0,344.0,328.85,330.0,332.2,337.22,14926862,503368802475000.0,172156,2531818,0.1696
2020-06-10,TATASTEEL,EQ,332.2,331.1,331.5,322.0,324.8,324.0,325.32,17218893,560159319855000.0,175572,4601771,0.26730000000000004
2020-06-11,TATASTEEL,EQ,324.0,322.0,323.5,311.0,314.05,313.15,318.2,13906985,442518437135000.06,176936,3542639,0.2547
2020-06-12,TATASTEEL,EQ,313.15,300.0,320.45,300.0,319.6,317.6,308.07,17558010,540905869089999.94,140583,4474480,0.2548
2020-06-15,TATASTEEL,EQ,317.6,313.75,315.0,302.6,306.2,306.2,306.8,18582927,570128153895000.0,157596,4028980,0.2168
2020-06-16,TATASTEEL,EQ,306.2,315.1,322.55,301.3,308.05,308.95,313.06,23442027,733877948125000.0,195544,3998178,0.1706
2020-06-17,TATASTEEL,EQ,308.95,307.2,314.8,305.05,308.0,308.2,310.6,11447411,355562170435000.0,94469,1704046,0.1489
2020-06-18,TATASTEEL,EQ,308.2,308.2,319.2,307.1,319.0,318.1,314.78,11369278,357885251190000.0,116074,2431872,0.2139
2020-06-19,TATASTEEL,EQ,318.1,321.0,325.85,317.3,320.25,320.55,321.65,15134693,486804335689999.94,130654,3867004,0.2555
2020-06-22,TATASTEEL,EQ,320.55,319.75,328.0,318.35,327.7,325.7,322.81,11031385,356098813135000.0,97621,1821564,0.16510000000000002
2020-06-23,TATASTEEL,EQ,325.7,327.7,333.5,326.15,330.0,332.0,330.59,12551154,414926713545000.0,106270,1574863,0.31260000000000004
2020-06-24,TATASTEEL,EQ,332.0,336.6,338.15,324.75,325.85,326.05,332.27,20782956,690558957945000.0,163710,5103375,0.24559999999999998
2020-06-25,TATASTEEL,EQ,326.05,322.0,327.4,321.0,322.55,323.1,324.48,11345728,368144125055000.0,107613,2659823,0.23440000000000003
2020-06-26,TATASTEEL,EQ,323.1,325.8,329.95,322.55,324.65,323.85,326.75,9706335,317155965890000.0,85340,1629288,0.1679
2020-06-29,TATASTEEL,EQ,323.85,323.0,326.0,312.1,319.75,320.85,317.6,11961198,379886832280000.0,103154,2023350,0.16920000000000002
2020-06-30,TATASTEEL,EQ,320.85,323.1,337.65,323.1,327.25,326.7,331.71,36523647,1211527639740000.0,274900,4913449,0.1345
2020-07-01,TATASTEEL,EQ,326.7,329.0,329.6,320.3,324.1,323.7,323.39,10489533,339223669535000.0,96601,1515907,0.1445
2020-07-02,TATASTEEL,EQ,323.7,327.05,337.5,324.55,334.15,334.9,330.8,11971928,396027222795000.0,112477,2037480,0.1702
