Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,TITAN,EQ,990.95,1009.0,1050.0,1006.05,1034.6,1025.0,1028.73,7033697,723575820930000.0,239292,1209882,0.172
2020-06-09,TITAN,EQ,1025.0,1037.0,1047.0,989.25,991.85,997.1,1016.86,17284462,1757594987325000.0,389075,2729867,0.15789999999999998
2020-06-10,TITAN,EQ,997.1,997.1,1008.95,970.85,974.45,977.25,989.08,5972031,590681000605000.0,153700,1064904,0.1783
2020-06-11,TITAN,EQ,977.25,976.0,976.0,949.1,954.0,951.25,961.5,4955843,476502807705000.0,123164,1699995,0.34299999999999997
2020-06-12,TITAN,EQ,951.25,910.05,984.8,901.0,976.5,977.7,959.18,6968388,668392969750000.0,151751,1727007,0.24780000000000002
2020-06-15,TITAN,EQ,977.7,979.95,986.55,945.0,947.05,948.4,958.17,3823675,366373207215000.0,97941,797131,0.20850000000000002
2020-06-16,TITAN,EQ,948.4,965.0,970.0,933.65,958.25,958.05,952.29,2976380,283437499135000.0,84399,786918,0.2644
2020-06-17,TITAN,EQ,958.05,955.0,972.85,945.75,964.5,963.0,962.51,2373042,228407855915000.0,61858,589550,0.2484
2020-06-18,TITAN,EQ,963.0,958.1,980.5,953.65,977.5,976.0,969.19,2118941,205365332710000.0,59763,781668,0.3689
2020-06-19,TITAN,EQ,976.0,980.0,994.95,973.0,976.0,975.85,982.62,2817654,276869205640000.0,72150,991871,0.35200000000000004
2020-06-22,TITAN,EQ,975.85,979.0,988.0,968.55,977.8,979.5,979.8,1840327,180315266740000.0,89831,431711,0.2346
2020-06-23,TITAN,EQ,979.5,981.5,1008.0,981.5,999.95,999.25,1000.1,2929967,293026778365000.0,107625,607023,0.3226
2020-06-24,TITAN,EQ,999.25,1010.0,1026.0,985.15,990.9,988.2,1009.37,3451727,348406086480000.0,108303,831857,0.24100000000000002
2020-06-25,TITAN,EQ,988.2,985.0,994.0,973.55,975.8,977.6,982.37,2214885,217584760335000.0,87160,624644,0.282
2020-06-26,TITAN,EQ,977.6,988.0,989.9,961.9,968.0,966.2,971.48,2514115,244241952925000.0,76749,766116,0.30469999999999997
2020-06-29,TITAN,EQ,966.2,964.9,971.6,935.0,959.0,957.45,948.46,3422997,324655989340000.0,106220,1159658,0.33880000000000005
2020-06-30,TITAN,EQ,957.45,965.0,971.95,946.4,952.25,949.85,957.77,1947535,186528209390000.0,71143,561328,0.2882
2020-07-01,TITAN,EQ,949.85,950.0,968.5,945.0,948.0,948.2,953.37,3043356,290143131770000.0,81159,792619,0.2604
2020-07-02,TITAN,EQ,948.2,956.95,994.0,953.1,984.2,986.4,974.7,3845200,374792858980000.0,99356,1080431,0.281
2020-07-03,TITAN,EQ,986.4,992.0,1008.0,986.3,1003.0,1003.5,996.85,3073826,306413332015000.0,83777,759001,0.2469
2020-07-06,TITAN,EQ,1003.5,1007.0,1019.8,995.65,1012.95,1014.2,1009.33,2509472,253289752035000.0,80991,587229,0.23399999999999999
2020-07-07,TITAN,EQ,1014.2,1015.0,1029.0,1007.0,1013.5,1016.25,1017.17,3538559,359930034245000.0,119108,1145477,0.3237
2020-07-08,TITAN,EQ,1016.25,1026.0,1029.0,987.05,992.1,991.15,1005.84,4272857,429782308220000.0,114102,1173579,0.2747
2020-07-09,TITAN,EQ,991.15,995.0,1002.5,978.35,993.0,991.6,986.36,3585898,353699918450000.0,122154,1112377,0.3102
2020-07-10,TITAN,EQ,991.6,985.05,987.0,957.4,965.0,961.85,968.21,3691698,357432359760000.0,109381,1250911,0.33880000000000005
2020-07-13,TITAN,EQ,961.85,973.95,973.95,959.0,965.05,966.35,964.94,2760626,266383116330000.03,73432,671578,0.2433
2020-07-14,TITAN,EQ,966.35,960.0,977.9,955.0,975.2,973.8,968.81,3642982,352935287930000.0,94918,777725,0.21350000000000002
2020-07-15,TITAN,EQ,973.8,979.0,985.8,963.4,968.3,967.95,974.21,2366688,230563963150000.0,56882,697551,0.2947
2020-07-16,TITAN,EQ,967.95,968.5,972.95,941.8,960.05,961.35,956.95,2914312,278885867469999.97,66572,884000,0.3033
2020-07-17,TITAN,EQ,961.35,960.0,1000.0,956.45,997.0,997.85,988.1,3843669,379793655495000.0,94477,844114,0.21960000000000002
2020-07-20,TITAN,EQ,997.85,1000.0,1012.5,986.0,1001.45,1001.7,1000.0,3349881,334986890080000.0,87440,726536,0.2169
2020-07-21,TITAN,EQ,1001.7,1004.0,1017.4,999.25,1016.8,1015.15,1010.6,2491482,251788326860000.0,87992,773737,0.3106
2020-07-22,TITAN,EQ,1015.15,1020.25,1065.95,1015.6,1065.5,1057.7,1040.31,7642563,795063996970000.0,191120,1731529,0.2266
2020-07-23,TITAN,EQ,1057.7,1067.95,1083.0,1051.1,1069.45,1070.2,1067.92,6785686,724655188980000.0,146294,1394139,0.20550000000000002
2020-07-24,TITAN,EQ,1070.2,1064.8,1066.0,1032.7,1057.05,1057.6,1052.64,4407076,463905898539999.94,87714,1273555,0.289
2020-07-27,TITAN,EQ,1057.6,1057.0,1072.5,1039.35,1042.35,1042.1,1055.63,2783448,293829166445000.0,82615,502794,0.18059999999999998
2020-07-28,TITAN,EQ,1042.1,1045.0,1054.95,1028.55,1049.85,1052.7,1043.14,3130786,326583712930000.0,82715,662122,0.2115
2020-07-29,TITAN,EQ,1052.7,1056.8,1066.75,1036.2,1040.45,1040.45,1052.22,2332468,245425906280000.03,76880,403580,0.17300000000000001
2020-07-30,TITAN,EQ,1040.45,1042.0,1057.7,1039.95,1040.0,1041.85,1046.28,2297979,240433910055000.03,71979,708290,0.30820000000000003
2020-07-31,TITAN,EQ,1041.85,1045.5,1051.1,1032.7,1048.5,1043.25,1043.13,1786574,186362236610000.0,56465,513964,0.2877
2020-08-03,TITAN,EQ,1043.25,1047.0,1094.65,1043.0,1077.25,1077.35,1078.4,7646653,824618138955000.0,162841,859429,0.1124
2020-08-04,TITAN,EQ,1077.35,1088.95,1089.2,1065.25,1070.65,1075.2,1077.78,3357492,361863541420000.0,87686,691312,0.2059
2020-08-05,TITAN,EQ,1075.2,1083.0,1114.45,1078.0,1105.0,1105.45,1098.54,5465903,600453807840000.0,115478,965116,0.1766
2020-08-06,TITAN,EQ,1105.45,1105.45,1125.0,1091.25,1122.55,1120.15,1111.2,4499103,499939545075000.0,94742,1134450,0.2522
2020-08-07,TITAN,EQ,1120.15,1114.95,1131.4,1086.05,1092.15,1091.05,1109.85,4553674,505387247620000.0,101355,1051863,0.231
2020-08-10,TITAN,EQ,1091.05,1093.0,1114.6,1084.0,1103.2,1107.55,1100.28,5186001,570604342105000.0,125183,1491430,0.2876
2020-08-11,TITAN,EQ,1107.55,1074.0,1087.7,1048.6,1068.0,1066.25,1066.79,11189335,1193664184885000.0,245272,1573299,0.1406
2020-08-12,TITAN,EQ,1066.25,1068.0,1076.9,1048.55,1058.05,1056.35,1061.72,6260237,664661784305000.0,137609,2039941,0.3259
2020-08-13,TITAN,EQ,1056.35,1064.05,1103.15,1062.0,1097.75,1097.65,1085.49,5476731,594493884615000.0,129592,695837,0.12710000000000002
2020-08-14,TITAN,EQ,1097.65,1097.65,1119.0,1090.05,1110.75,1104.15,1104.4,4149226,458241388495000.0,96834,964422,0.2324
2020-08-17,TITAN,EQ,1104.15,1113.0,1126.2,1106.0,1123.0,1123.85,1118.69,3033449,339347961210000.0,81062,404513,0.1334
2020-08-18,TITAN,EQ,1123.85,1128.95,1151.8,1125.1,1147.65,1145.55,1141.87,4134683,472127891500000.0,98361,534357,0.1292
2020-08-19,TITAN,EQ,1145.55,1158.85,1159.0,1145.0,1148.75,1148.4,1151.18,2570066,295860432585000.0,64435,667921,0.25989999999999996
2020-08-20,TITAN,EQ,1148.4,1130.05,1138.4,1118.8,1129.0,1125.7,1128.02,2727310,307646609915000.0,83078,824551,0.3023
2020-08-21,TITAN,EQ,1125.7,1137.7,1143.8,1129.1,1138.0,1138.1,1136.0,2181343,247799557715000.0,47355,779095,0.3572
2020-08-24,TITAN,EQ,1138.1,1140.0,1146.75,1124.0,1128.3,1126.65,1130.44,2122417,239926812210000.0,56916,723340,0.3408
2020-08-25,TITAN,EQ,1126.65,1131.0,1139.0,1122.9,1138.0,1136.5,1131.89,1465877,165920888415000.0,49224,359707,0.2454
2020-08-26,TITAN,EQ,1136.5,1139.7,1150.0,1127.15,1132.05,1134.2,1141.98,2009966,229534217285000.0,61718,330859,0.16460000000000002
2020-08-27,TITAN,EQ,1134.2,1140.0,1148.5,1127.0,1139.2,1137.65,1133.81,1459161,165441480085000.0,52843,467701,0.32049999999999995
2020-08-28,TITAN,EQ,1137.65,1148.25,1148.25,1131.6,1135.75,1134.1,1139.55,1628959,185628118650000.0,54600,509896,0.313
2020-08-31,TITAN,EQ,1134.1,1131.0,1153.0,1086.0,1097.0,1100.5,1112.55,3373649,375335364245000.0,107838,1173629,0.3479
2020-09-01,TITAN,EQ,1100.5,1105.0,1129.65,1095.65,1122.0,1120.05,1112.86,2043957,227464418700000.0,48134,511744,0.2504
2020-09-02,TITAN,EQ,1120.05,1116.95,1124.65,1102.6,1121.0,1121.3,1111.61,1919880,213415173880000.0,53393,895158,0.46630000000000005
2020-09-03,TITAN,EQ,1121.3,1121.3,1191.6,1121.3,1185.15,1185.3,1170.41,5945368,695852533045000.0,175685,881952,0.14830000000000002
2020-09-04,TITAN,EQ,1185.3,1161.6,1198.05,1155.0,1162.0,1159.25,1176.11,3490982,410578099605000.0,86045,403231,0.1155
2020-09-07,TITAN,EQ,1159.25,1164.0,1176.45,1149.3,1165.0,1167.7,1165.22,2166347,252427017755000.03,64062,225257,0.10400000000000001
2020-09-08,TITAN,EQ,1167.7,1167.7,1174.1,1154.6,1159.65,1162.55,1165.87,1994073,232483466160000.0,54012,530484,0.266
2020-09-09,TITAN,EQ,1162.55,1156.9,1171.8,1148.3,1159.0,1161.1,1159.61,1918428,222463631300000.0,63530,418125,0.218
2020-09-10,TITAN,EQ,1161.1,1165.0,1165.85,1138.75,1156.0,1155.25,1150.94,1841230,211914687720000.0,56843,452821,0.2459
2020-09-11,TITAN,EQ,1155.25,1156.0,1194.0,1155.0,1164.0,1167.75,1176.34,5572098,655470322420000.0,134109,430796,0.07730000000000001
2020-09-14,TITAN,EQ,1167.75,1168.5,1191.6,1167.95,1185.0,1188.0,1183.24,2019325,238935231960000.0,60334,407853,0.20199999999999999
2020-09-15,TITAN,EQ,1188.0,1194.8,1220.0,1170.15,1172.0,1174.55,1193.63,5204283,621196376695000.0,124643,652535,0.12539999999999998
