Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,ULTRACEMCO,EQ,3869.55,3910.0,3910.0,3761.7,3785.0,3778.2,3833.93,547499,209907033135000.0,41293,235429,0.43
2020-06-09,ULTRACEMCO,EQ,3778.2,3805.0,3834.9,3754.8,3799.0,3791.35,3796.03,478720,181723397330000.0,44433,178997,0.3739
2020-06-10,ULTRACEMCO,EQ,3791.35,3825.0,3864.85,3780.0,3799.95,3792.45,3828.45,475926,182205859015000.0,35709,130764,0.2748
2020-06-11,ULTRACEMCO,EQ,3792.45,3789.9,3819.95,3688.0,3706.0,3704.9,3749.57,475582,178322641655000.0,44796,180481,0.37950000000000006
2020-06-12,ULTRACEMCO,EQ,3704.9,3600.0,3805.0,3600.0,3782.0,3788.55,3713.87,592692,220117868640000.0,42896,188974,0.3188
2020-06-15,ULTRACEMCO,EQ,3788.55,3726.45,3768.65,3688.0,3735.0,3744.8,3729.82,440266,164211155235000.0,29306,132486,0.3009
2020-06-16,ULTRACEMCO,EQ,3744.8,3785.0,3830.3,3734.4,3769.85,3779.95,3791.52,622735,236110982525000.0,42870,217768,0.3497
2020-06-17,ULTRACEMCO,EQ,3779.95,3760.0,3845.0,3712.0,3812.0,3809.2,3799.68,430612,163618869940000.0,40997,139329,0.3236
2020-06-18,ULTRACEMCO,EQ,3809.2,3799.7,3882.0,3777.0,3849.0,3844.25,3841.46,348706,133954161059999.98,27419,105776,0.3033
2020-06-19,ULTRACEMCO,EQ,3844.25,3859.25,3904.45,3813.1,3824.1,3836.35,3852.0,556285,214281156475000.0,36425,269319,0.4841
2020-06-22,ULTRACEMCO,EQ,3836.35,3836.35,3847.45,3790.65,3829.9,3825.25,3819.12,329145,125704352759999.98,25923,113101,0.3436
2020-06-23,ULTRACEMCO,EQ,3825.25,3847.0,3954.0,3833.65,3920.0,3942.8,3910.33,563658,220408869994999.97,36636,82965,0.4243
2020-06-24,ULTRACEMCO,EQ,3942.8,3982.8,4016.0,3806.45,3828.0,3821.6,3914.77,501886,196477050895000.0,42376,118152,0.2354
2020-06-25,ULTRACEMCO,EQ,3821.6,3814.8,3875.0,3781.75,3799.85,3802.35,3829.36,395771,151554933785000.0,35227,140681,0.3555
2020-06-26,ULTRACEMCO,EQ,3802.35,3835.0,3874.0,3780.0,3870.0,3860.6,3839.91,373568,143446730615000.0,34355,145230,0.38880000000000003
2020-06-29,ULTRACEMCO,EQ,3860.6,3839.95,3840.0,3757.0,3812.0,3807.0,3797.14,692124,262808994180000.03,54062,358866,0.5185000000000001
2020-06-30,ULTRACEMCO,EQ,3807.0,3822.0,3904.35,3822.0,3890.4,3893.55,3881.0,494113,191765206655000.0,46690,193421,0.3915
2020-07-01,ULTRACEMCO,EQ,3893.55,3888.0,3933.95,3862.1,3892.7,3898.6,3895.67,331198,129023753984999.98,28596,100531,0.30350000000000005
2020-07-02,ULTRACEMCO,EQ,3898.6,3911.0,3947.0,3882.0,3920.0,3914.95,3914.02,294329,115200998140000.02,24895,125542,0.4265
2020-07-03,ULTRACEMCO,EQ,3914.95,3926.0,3960.0,3875.0,3908.0,3889.6,3904.13,257664,100595501700000.0,18286,82144,0.3188
2020-07-06,ULTRACEMCO,EQ,3889.6,3920.0,3944.7,3904.5,3940.0,3930.9,3928.52,254346,99920447270000.0,23807,99912,0.39280000000000004
2020-07-07,ULTRACEMCO,EQ,3930.9,3940.0,3947.85,3826.5,3856.9,3862.0,3859.56,452430,174618041830000.0,52503,208472,0.4608
2020-07-08,ULTRACEMCO,EQ,3862.0,3884.95,3884.95,3776.8,3789.95,3786.65,3808.09,635619,242049622444999.97,52303,279377,0.43950000000000006
2020-07-09,ULTRACEMCO,EQ,3786.65,3802.0,3858.75,3767.05,3846.05,3843.45,3832.26,524030,200821853790000.0,34540,174605,0.3332
2020-07-10,ULTRACEMCO,EQ,3843.45,3835.05,3844.7,3783.0,3802.0,3798.5,3805.34,336838,128178344770000.0,33554,168344,0.49979999999999997
2020-07-13,ULTRACEMCO,EQ,3798.5,3820.0,3837.8,3778.0,3790.0,3787.9,3801.49,302967,115172600025000.0,26259,135239,0.4464
2020-07-14,ULTRACEMCO,EQ,3787.9,3784.8,3820.8,3744.0,3775.0,3770.9,3773.0,351720,132703893155000.0,24629,163775,0.4656
2020-07-15,ULTRACEMCO,EQ,3770.9,3782.2,3829.95,3772.0,3823.0,3820.65,3809.13,274207,104449002705000.0,22562,120331,0.4388
2020-07-16,ULTRACEMCO,EQ,3820.65,3824.95,3834.0,3735.0,3812.0,3816.25,3787.2,412522,156230399205000.0,30651,140180,0.3398
2020-07-17,ULTRACEMCO,EQ,3816.25,3820.0,3869.0,3812.2,3860.0,3862.85,3853.02,237486,91503714300000.0,18484,107520,0.45270000000000005
2020-07-20,ULTRACEMCO,EQ,3862.85,3863.1,3890.0,3826.95,3864.4,3865.1,3863.98,277775,107331664520000.0,32568,117514,0.42310000000000003
2020-07-21,ULTRACEMCO,EQ,3865.1,3899.0,3955.0,3850.0,3875.0,3863.3,3906.71,614204,239951936115000.0,42322,305888,0.498
2020-07-22,ULTRACEMCO,EQ,3863.3,3880.0,3905.0,3837.9,3860.0,3862.65,3874.64,433237,167863776715000.0,39375,228534,0.5275
